# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -4.992973313615411968e-02 -9.913817091925913871e-02 -2.353429142601888846e-01 -3.919575661645068321e-01 -5.146929670267849088e-01 -6.399771215725924556e-01
6.220975551662956404e-02 -4.672758234843856634e-02 -9.275323485572037341e-02 -2.197654979524486796e-01 -3.641772450237044656e-01 -4.741647166517449774e-01 -5.787791243932337570e-01
1.244195110332591281e-01 -4.334479253441079344e-02 -8.601050542486986250e-02 -2.033456770074228981e-01 -3.348448980065224512e-01 -4.301598056184824381e-01 -5.078606883625057522e-01
1.866292665498887060e-01 -3.979435600079031521e-02 -7.893530591026648446e-02 -1.861351118524464388e-01 -3.040021121909569635e-01 -3.826473366955497890e-01 -4.255896491920356239e-01
2.488390220665182562e-01 -3.608991209818411539e-02 -7.155423754937470515e-02 -1.681887819617634838e-01 -2.717028283144155565e-01 -3.316401400523217857e-01 -3.328012899422949644e-01
3.110487775831478063e-01 -3.224569778944948173e-02 -6.389510290030206430e-02 -1.495651205075375079e-01 -2.380142479889982010e-01 -2.771977159829572268e-01 -2.282982387115335965e-01
3.732585330997774120e-01 -2.827649584233956834e-02 -5.598682382655528755e-02 -1.303261100842448006e-01 -2.030175645660335093e-01 -2.194290149694099190e-01 -1.135386911926552778e-01
4.354682886164069622e-01 -2.419758073523770037e-02 -4.785935358758659774e-02 -1.105373329402255106e-01 -1.668085283202535019e-01 -1.584951048621916492e-01 1.221648094933937626e-02
4.976780441330365123e-01 -2.002466237941154942e-02 -3.954358260478942066e-02 -9.026797026863694895e-02 -1.294978553240779540e-01 -9.461222485191120302e-02 1.466734784201802477e-01
5.598877996496660625e-01 -1.577382777916111131e-02 -3.107123757720799476e-02 -6.959074611130407206e-02 -9.121148441811360863e-02 -2.805535700619889161e-02 2.898642264175265160e-01
6.220975551662956127e-01 -1.146148077180645340e-02 -2.247477374543260450e-02 -4.858181231425530433e-02 -5.209068345965200963e-02 4.083702243494824469e-02 4.378511922093120678e-01
6.843073106829251628e-01 -7.104280012445673975e-03 -1.378726024273318682e-02 -2.732057176488359579e-02 -1.229200466926006277e-02 1.116566797035365988e-01 5.883793495297586773e-01
7.465170661995548240e-01 -2.719075393143689529e-03 -5.042258625630233367e-03 -5.889437877839951742e-03 2.801291652437678387e-02 1.839168401108828288e-01 7.311329804666683030e-01
8.087268217161843742e-01 1.677156887974878482e-03 3.726305161433273068e-03 1.562647096809489239e-02 6.863773532939472510e-02 2.570400911979369707e-01 8.476240168621563820e-01
8.709365772328139244e-01 6.067380366130544975e-03 1.248427496482583041e-02 3.713970255212287880e-02 1.093819704581560220e-01 3.303412923189153472e-01 9.029960080182758420e-01
9.331463327494434745e-01 1.043456519058251833e-02 2.119740415183506838e-02 5.856090711092920564e-02 1.500318115338631908e-01 4.030039915092002434e-01 9.149546655682088137e-01
9.953560882660730247e-01 1.476175555516339583e-02 2.983150013286746394e-02 7.979933739245213820e-02 1.903612121032313975e-01 4.740482895412056474e-01 9.196004123611064562e-01
1.057565843782702686e+00 1.903213736518210089e-02 3.835257275563824786e-02 1.007634098044993126e-01 2.301333420631044846e-01 5.422903776627495676e-01 9.225086598024474505e-01
1.119775599299332125e+00 2.322910580820162357e-02 4.672698550125448103e-02 1.213613225223278969e-01 2.691024942915124507e-01 6.063003524522405652e-01 9.254067863306834063e-01
1.181985354815961786e+00 2.733633248089379145e-02 5.492160827744729107e-02 1.415017246597599920e-01 3.070165578434117526e-01 6.643869668500320680e-01 9.273607653214945845e-01
1.244195110332591225e+00 3.133783171318136468e-02 6.290397048971209382e-02 1.610944285409078858e-01 3.436201889535144272e-01 7.146859838811266963e-01 9.293231671616226652e-01
