# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.998906326605314088e-04 -1.999723720164318930e-03 -4.998305428273119855e-03 -9.989474835049999557e-03 -1.992294258269663998e-02 -4.896599536773868500e-02
6.220975551662956404e-02 5.218325285193452408e-03 1.043634199569948295e-02 2.608545332487115925e-02 5.213233275339399647e-02 1.039563232428713513e-01 2.545611595514618575e-01
1.244195110332591281e-01 1.141576824052617165e-02 2.282735814843372263e-02 5.699536075924260814e-02 1.134715698881680751e-01 2.228690905899112784e-01 4.946593124667637009e-01
1.866292665498887060e-01 1.756762048727017814e-02 3.511866617019158976e-02 8.750772664648877319e-02 1.729834545541685253e-01 3.306757563399403965e-01 6.422273169477883403e-01
2.488390220665182562e-01 2.364929096357011595e-02 4.725641456451604161e-02 1.174090249346880083e-01 2.297549002049378286e-01 4.237194987605630847e-01 7.282652214677709512e-01
3.110487775831478063e-01 2.963653834886983973e-02 5.918800050667720469e-02 1.465013713218747959e-01 2.830656521300352613e-01 5.011373543589345836e-01 7.814124518582510337e-01
3.732585330997774120e-01 3.550558992898977806e-02 7.086247983735739775e-02 1.746070011162092483e-01 3.324194066218349453e-01 5.641068148777358404e-01 8.167404550379797623e-01
4.354682886164069622e-01 4.123325490589555692e-02 8.223093565265490734e-02 2.015715044563404224e-01 3.775437761090469357e-01 6.147796396766783689e-01 8.417100763642587635e-01
4.976780441330365123e-01 4.679703095549656716e-02 9.324679760045737065e-02 2.272657057559520077e-01 4.183651575755586993e-01 6.554802681467679637e-01 8.602009509482286820e-01
5.598877996496660625e-01 5.217520303611596078e-02 1.038661062020058423e-01 2.515862043606299503e-01 4.549684902626021654e-01 6.882931470021357301e-01 8.743773068753044608e-01
6.220975551662956127e-01 5.734693367361473615e-02 1.140477188858306373e-01 2.744547053317867302e-01 4.875520514234716885e-01 7.149263813649543442e-01 8.855354676971348704e-01
6.843073106829251628e-01 6.229234418753558378e-02 1.237534568047879008e-01 2.958163501569430753e-01 5.163850089723152070e-01 7.367161674991981046e-01 8.944942195982408251e-01
7.465170661995548240e-01 6.699258656624353103e-02 1.329481937725650043e-01 3.156373015702645390e-01 5.417721408637420355e-01 7.546842000731144307e-01 9.017981994415540381e-01
8.087268217161843742e-01 7.142990593885215067e-02 1.415998906905421018e-01 3.339018461182198250e-01 5.640272337592869834e-01 7.696046389934476650e-01 9.078212087322035106e-01
8.709365772328139244e-01 7.558769381871409399e-02 1.496795805543862379e-01 3.506092593235310972e-01 5.834547421344143947e-01 7.820635109435479793e-01 9.128296473012192935e-01
9.331463327494434745e-01 7.945053250003823730e-02 1.571613104775199110e-01 3.657706405758919255e-01 6.003383144827409978e-01 7.925060312924092631e-01 9.170166020403851537e-01
9.953560882660730247e-01 8.300423116908636767e-02 1.640220481225258542e-01 3.794058777146389061e-01 6.149345106693273610e-01 8.012724118041932853e-01 9.205261120295242794e-01
1.057565843782702686e+00 8.623585443960600505e-02 1.702415604958933681e-01 3.915408527032818720e-01 6.274701478917057429e-01 8.086242739398801227e-01 9.234663310633210997e-01
1.119775599299332125e+00 8.913374413511347683e-02 1.758022732637883334e-01 4.022049555643751884e-01 6.381419967807745453e-01 8.147639066862925050e-01 9.259202533655721545e-01
1.181985354815961786e+00 9.168753521651758220e-02 1.806891186304200592e-01 4.114289371739623946e-01 6.471178666535464252e-01 8.198482505897429773e-01 9.279513893346370557e-01
1.244195110332591225e+00 9.388816679186852421e-02 1.848893794398595303e-01 4.192431038942800448e-01 6.545384019502583639e-01 8.239990488957490422e-01 9.296089917826187987e-01
1.306404865849220887e+00 9.572788914653210246e-02 1.883925365739719249e-01 4.256758381713220962e-01 6.605191363416929029e-01 8.273102196055011071e-01 9.309307006621850844e-01
1.368614621365850326e+00 9.720026769881726092e-02 1.911901259790003138e-01 4.307524180799510161e-01 6.651525159242913654e-01 8.298531999593005137e-01 9.319452172890032582e-01
1.430824376882479987e+00 9.830018472090926163e-02 1.932756108110040838e-01 4.344941039077381828e-01 6.685097172869525206e-01 8.316807912035686368e-01 9.326735940153262350e-01
1.493034132399109648e+00 9.902383957144197946e-02 1.946442732871596082e-01 4.369174597191607390e-01 6.706421616327180590e-01 8.328298692579441109e-01 9.331305589398253275e-01
1.555243887915739087e+00 9.936874806835542528e-02 1.952931298975084939e-01 4.380338810709085151e-01 6.715826734303924628e-01 8.333232096454947779e-01 9.333251327893653526e-01
1.617453643432368748e+00 9.933374149341119008e-02 1.952208726919492654e-01 4.378493055320516469e-01 6.713462601903715798e-01 8.331705885298447134e-01 9.332611145471734204e-01
1.679663398948998188e+00 9.891896556757059922e-02 1.944278384229483625e-01 4.363640895265539776e-01 6.699305058244848787e-01 8.323692555203421328e-01 9.329372998961202867e-01
1.741873154465627849e+00 9.812587957437376995e-02 1.929160064011110620e-01 4.335730426048310937e-01 6.673155789409564997e-01 8.309038195155502571e-01 9.323473109168147754e-01
1.804082909982257288e+00 9.695725564149255959e-02 1.906890250085670757e-01 4.294656180681173385e-01 6.634638635129733730e-01 8.287455398584818722e-01 9.314794828740879939e-01
1.866292665498886949e+00 9.541717802371160739e-02 1.877522659113211589e-01 4.240262665042965340e-01 6.583192262493143820e-01 8.258509654274918121e-01 9.303160095412316144e-01
1.928502421015516388e+00 9.351104206877935976e-02 1.841129041131001065e-01 4.172349658519596827e-01 6.518059462412716387e-01 8.221598083270675872e-01 9.288324011332416141e-01
1.990712176532146049e+00 9.124555239567433418e-02 1.797800210986528757e-01 4.090679476449734508e-01 6.438273520152626439e-01 8.175918700355653268e-01 9.269956905244792766e-01
2.052921932048775489e+00 8.862871967770932780e-02 1.747647274269961137e-01 3.994986435486726495e-01 6.342642437027612434e-01 8.120427486104268011e-01 9.247631325748217890e-01
2.115131687565405372e+00 8.566985530507012503e-02 1.690803002643007091e-01 3.884988784793428351e-01 6.229732293202918658e-01 8.053779367129260125e-01 9.220788320134348792e-01
2.177341443082034811e+00 8.237956310720394304e-02 1.627423305090424932e-01 3.760403356381447071e-01 6.097851806024714438e-01 7.974247616495022672e-01 9.188708700493730674e-01
2.239551198598664250e+00 7.876972724888006705e-02 1.557688733846899209e-01 3.620963136917103586e-01 5.945041219159217238e-01 7.879614121352878087e-01 9.150448655253797803e-01
2.301760954115293689e+00 7.485349537816071708e-02 1.481805956920010103e-01 3.466437860423883799e-01 5.769070100539992474e-01 7.767020431298311545e-01 9.104774998977618328e-01
2.363970709631923572e+00 7.064525610266780831e-02 1.400009123663207844e-01 3.296657556952045653e-01 5.567450422238985341e-01 7.632766798034260614e-01 9.050033301497726335e-01
2.426180465148553012e+00 6.616060990438564493e-02 1.312561046231221773e-01 3.111538760131237202e-01 5.337473320544724453e-01 7.472044535408911559e-01 8.983992098014672578e-01
2.488390220665182451e+00 6.141633267358858478e-02 1.219754118480929489e-01 2.911112776510055289e-01 5.076279874412530368e-01 7.278588477487759612e-01 8.903541471237258476e-01
2.550599976181812334e+00 5.643033114911497755e-02 1.121910895452695733e-01 2.695555061434246613e-01 4.780977496644321922e-01 7.044246525117485724e-01 8.804276750971697929e-01
2.612809731698441773e+00 5.122158969339810075e-02 1.019384261401903718e-01 2.465214352846645529e-01 4.448813158556740310e-01 6.758492611186804888e-01 8.679696737871074319e-01
2.675019487215071212e+00 4.581010800343586487e-02 9.125571227437309640e-02 2.220639824345209123e-01 4.077411399350492349e-01 6.407974624678691722e-01 8.519909310251106982e-01
2.737229242731700651e+00 4.021682955858629088e-02 8.018415743389886718e-02 1.962604186443765997e-01 3.665077533857755698e-01 5.976310123355342840e-01 8.309030279694133991e-01
2.799438998248330535e+00 3.446356082702797113e-02 6.876775031645102065e-02 1.692120456997327771e-01 3.211153680012943656e-01 5.444527877060010290e-01 8.020318061632463191e-01
2.861648753764959974e+00 2.857288148736455285e-02 5.705306121880489301e-02 1.410450109436378607e-01 2.716397365212364634e-01 4.792758608353135941e-01 7.605962501518938046e-01
2.923858509281589413e+00 2.256804616237583286e-02 4.508898685287753699e-02 1.119100553900450046e-01 2.183331828935787255e-01 4.003850262133384907e-01 6.977775994717487773e-01
2.986068264798219296e+00 1.647287839901395712e-02 3.292644027822207858e-02 8.198104503330129467e-02 1.616498800120912405e-01 3.069234861792675129e-01 5.977190034597716917e-01
3.048278020314848735e+00 1.031165785324848413e-02 2.061799095445122215e-02 5.145221917786990673e-02 1.022536177895220499e-01 1.996305755278867111e-01 4.367686691801355714e-01
3.110487775831478174e+00 4.109001841191967791e-03 8.217462135358320069e-03 2.053419743793944915e-02 4.100132225041247525e-02 8.148041912973444378e-02 1.957910560833319158e-01
3.172697531348107614e+00 -2.110257409687280560e-03 -4.220505191317325960e-03 -1.055109254825028001e-02 -2.110096743641824701e-02 -4.219213430035668316e-02 -1.053172430727547515e-01
3.234907286864737497e+00 -8.321198340894755269e-03 -1.664091100055642425e-02 -4.157628771955237945e-02 -8.296726682458024915e-02 -1.644625384153112768e-01 -3.866244122847038445e-01
3.297117042381366936e+00 -1.449893691576731661e-02 -2.898886561307273402e-02 -7.231488830944599044e-02 -1.435169344926216506e-01 -2.784576698665510719e-01 -5.785157182397818731e-01
3.359326797897996375e+00 -2.061875314322764163e-02 -4.121005724776875129e-02 -1.025475516946330046e-01 -2.017617905982158066e-01 -3.791571462056206876e-01 -6.907605520608391947e-01
3.421536553414625814e+00 -2.665621567828633035e-02 -5.325120527011867333e-02 -1.320679433627917621e-01 -2.568792739582110851e-01 -4.643429891339124760e-01 -7.577672510022501751e-01
3.483746308931255697e+00 -3.258730296247015074e-02 -6.506048731753998060e-02 -1.606877525247800143e-01 -3.082592320157107602e-01 -5.343050818826671211e-01 -8.007173272291464583e-01
3.545956064447885137e+00 -3.838851947209675347e-02 -7.658792970535355238e-02 -1.882405711588593378e-01 -3.555190994818503425e-01 -5.908325164543146713e-01 -8.302245046673730755e-01
3.608165819964514576e+00 -4.403700578985868946e-02 -8.778575222360844588e-02 -2.145844571223757824e-01 -3.984902196606348035e-01 -6.362380011311246086e-01 -8.516017323084141832e-01
3.670375575481144459e+00 -4.951064139912818296e-02 -9.860866051021052736e-02 -2.396031344722747425e-01 -4.371838188550715154e-01 -6.727567350893348674e-01 -8.677338290647803598e-01
3.732585330997773898e+00 -5.478813931283622179e-02 -1.090140814925049245e-01 -2.632059071871320488e-01 -4.717471260307381509e-01 -7.022905484259454045e-01 -8.802736836042401869e-01
3.794795086514403337e+00 -5.984913188086423558e-02 -1.189623397831218454e-01 -2.853264600473112700e-01 -5.024187870434954073e-01 -7.263562773649903104e-01 -8.902512860099915937e-01
3.857004842031032776e+00 -6.467424736199234303e-02 -1.284167752559772502e-01 -3.059207832774108460e-01 -5.294896501403596467e-01 -7.461244686934959125e-01 -8.983262140502414894e-01
3.919214597547662660e+00 -6.924517708938181249e-02 -1.373438041909875451e-01 -3.249644838997250429e-01 -5.532717811353959902e-01 -7.624849476884125732e-01 -9.049514509131706408e-01
3.981424353064292099e+00 -7.354473329295614648e-02 -1.457129282612870391e-01 -3.424497410215644466e-01 -5.740761254387839463e-01 -7.761111158691378353e-01 -9.104385384037595452e-01
4.043634108580921982e+00 -7.755689785981709217e-02 -1.534966971746900000e-01 -3.583821328022888109e-01 -5.921978050765100976e-01 -7.875134404626006335e-01 -9.150160640489222175e-01
4.105843864097550977e+00 -8.126686250792128363e-02 -1.606706319330631905e-01 -3.727775192761947354e-01 -6.079074490675995257e-01 -7.970808012857809599e-01 -9.188483869017077810e-01
4.168053619614180860e+00 -8.466106101276910101e-02 -1.672131164303013451e-01 -3.856591164723822684e-01 -6.214469046333439550e-01 -8.051113096404277636e-01 -9.220618573460405143e-01
4.230263375130810743e+00 -8.772719425781302927e-02 -1.731052654882660191e-01 -3.970548503123020323e-01 -6.330278979078807211e-01 -8.118348820929668364e-01 -9.247495661625890762e-01
4.292473130647439739e+00 -9.045424897382720042e-02 -1.783307774669132262e-01 -4.069950380890697827e-01 -6.428325258042686396e-01 -8.174296536917271538e-01 -9.269854367270827789e-01
4.354682886164069622e+00 -9.283251108956400155e-02 -1.828757793293535883e-01 -4.155104131830206216e-01 -6.510147661199543467e-01 -8.220338919639780251e-01 -9.288241596566679803e-01
4.416892641680698617e+00 -9.485357463571282566e-02 -1.867286715509588191e-01 -4.226304855220510692e-01 -6.577024478745301383e-01 -8.257546473106396334e-01 -9.303099725293029199e-01
4.479102397197328500e+00 -9.651034712804348881e-02 -1.898799795908341081e-01 -4.283822154643166513e-01 -6.629993178351036853e-01 -8.286740333181127349e-01 -9.314747614323763969e-01
4.541312152713958383e+00 -9.779705230592927734e-02 -1.923222178469936317e-01 -4.327889709547799724e-01 -6.669869774339054480e-01 -8.308537664527410049e-01 -9.323442279001249444e-01
4.603521908230587378e+00 -9.870923102265069526e-02 -1.940497711392523972e-01 -4.358697354694511805e-01 -6.697265577151912952e-01 -8.323384065811459953e-01 -9.329352007848216166e-01
4.665731663747217262e+00 -9.924374097769958492e-02 -1.950587978426798763e-01 -4.376385359575146738e-01 -6.712600600459823763e-01 -8.331575994225242088e-01 -9.332603985505880662e-01
4.727941419263847145e+00 -9.939875585327402618e-02 -1.953471578562402666e-01 -4.381040644721152510e-01 -6.716113270453564210e-01 -8.333275240881762302e-01 -9.333252955647848292e-01
4.790151174780476140e+00 -9.917376427176935461e-02 -1.949143676530747660e-01 -4.372694734482531764e-01 -6.707866294285708131e-01 -8.328516713625218060e-01 -9.331320689480684383e-01
4.852360930297106023e+00 -9.856956883339584863e-02 -1.937615837297439747e-01 -4.351323318832013287e-01 -6.687748662631207708e-01 -8.317210212594279284e-01 -9.326760620774730004e-01
4.914570685813735906e+00 -9.758828532787108823e-02 -1.918916148542358369e-01 -4.316847374330200493e-01 -6.655473831496008241e-01 -8.299136352350469092e-01 -9.319492058928222633e-01
4.976780441330364901e+00 -9.623334204656461277e-02 -1.893089626049390684e-01 -4.269135872133504317e-01 -6.610574188928378669e-01 -8.273936320394855715e-01 -9.309359379402890600e-01
5.038990196846994785e+00 -9.450947895651877484e-02 -1.860198887919479183e-01 -4.208010174902324096e-01 -6.552391998372811832e-01 -8.241094619060902460e-01 -9.296161971193361850e-01
5.101199952363624668e+00 -9.242274634028517510e-02 -1.820325074553462708e-01 -4.133250290548174943e-01 -6.480067159062203874e-01 -8.199913345344008730e-01 -9.279604577395544895e-01
5.163409707880253663e+00 -8.998050236042544336e-02 -1.773568982433942898e-01 -4.044603204008364039e-01 -6.392522378052740706e-01 -8.149475759972955036e-01 -9.259321937615871967e-01
5.225619463396883546e+00 -8.719140887949851371e-02 -1.720052370927542817e-01 -3.941793542412363460e-01 -6.288446760140018466e-01 -8.088595893288762495e-01 -9.234813471281647645e-01
5.287829218913512541e+00 -8.406542475982137219e-02 -1.659919392762735924e-01 -3.824536836278319973e-01 -6.166279452175167375e-01 -8.015749535214629073e-01 -9.205457925804717556e-01
5.350038974430142424e+00 -8.061379578645674893e-02 -1.593338090728674827e-01 -3.692555610388211784e-01 -6.024195893474357799e-01 -7.928980166056613932e-01 -9.170418261425045126e-01
5.412248729946772308e+00 -7.684904030537520470e-02 -1.520501895789068969e-01 -3.545598462348530933e-01 -5.860100482468203476e-01 -7.825771042769402719e-01 -9.128632817941089161e-01
5.474458485463401303e+00 -7.278492964976737700e-02 -1.441631055598953937e-01 -3.383462154273580991e-01 -5.671631095258622413e-01 -7.702872002566825138e-01 -9.078658103872083718e-01
5.536668240980031186e+00 -6.843646244326516415e-02 -1.356973917805190388e-01 -3.206016545249718575e-01 -5.456182827148690073e-01 -7.556067023634558399e-01 -9.018598188950480710e-01
5.598877996496661069e+00 -6.381983192089177304e-02 -1.266807990003017692e-01 -3.013231925636863373e-01 -5.210960365787504767e-01 -7.379867952542523701e-01 -8.945801782793501022e-01
5.661087752013290064e+00 -5.895238549723293836e-02 -1.171440698313777062e-01 -2.805207983215451395e-01 -4.933070098298828476e-01 -7.167124654072649648e-01 -8.856611391747167827e-01
