# W Re(E=0.1) Re(E=0.2) Re(E=0.5) Re(E=1.0) Re(E=2.0) Re(E=5.0) Im(E=0.1) Im(E=0.2) Im(E=0.5) Im(E=1.0) Im(E=2.0) Im(E=5.0)
1.000000000000000021e-02 3.118654890801077217e-02 2.979295596919950828e-02 2.217657431519218236e-02 9.851800940548334495e-03 1.673879366589867699e-03 4.608869601080974005e-05 5.088461423928807709e-03 4.750536401409143419e-03 3.079812077102890826e-03 1.001724824053547682e-03 1.087689180537058096e-04 1.904746286543746799e-06
1.122018454301963557e-02 3.106904836194663427e-02 2.968581700571878285e-02 2.211591939130649886e-02 9.836799702445848254e-03 1.672686831123671456e-03 4.607187523222928174e-05 5.700702302890605158e-03 5.322216675990918897e-03 3.451625529911820853e-03 1.123167305939462134e-03 1.219843966306965647e-04 2.135884167316254587e-06
1.258925411794167490e-02 3.092144266607379371e-02 2.955123708382503822e-02 2.203969266359509516e-02 9.817937142497047687e-03 1.671187401194758164e-03 4.605077209728800850e-05 6.384102514397364987e-03 5.960383599983951931e-03 3.867173063227430894e-03 1.259104929662589354e-03 1.367893261608503703e-04 2.394714739661174350e-06
1.412537544622754007e-02 3.073612187130772208e-02 2.938241385278560561e-02 2.194393968741180367e-02 9.794226760510772040e-03 1.669302698762103847e-03 4.602431757402274153e-05 7.145898531857345845e-03 6.671049953145433316e-03 4.331123191750527006e-03 1.411174130473592282e-03 1.533682484356619074e-04 2.684417943276135337e-06
1.584893192461113431e-02 3.050361259412963724e-02 2.917053993907156237e-02 2.182372696784663432e-02 9.764434315347467544e-03 1.666934670805289261e-03 4.599118660978543865e-05 7.993625798576053237e-03 7.462506963181850077e-03 4.848443383313134729e-03 1.581157268484802885e-03 1.719244378890976517e-04 3.008487373110440300e-06
1.778279410038922925e-02 3.021215667658839338e-02 2.890501250948470519e-02 2.167291423378621407e-02 9.727018091115362253e-03 1.663960840922490414e-03 4.594974197438393449e-05 8.934923963728727894e-03 8.341355670667972497e-03 5.424328570647695726e-03 1.770978874268903675e-03 1.926806915901746464e-04 3.370742874352143852e-06
1.995262314968879874e-02 2.984721533764133836e-02 2.857263426660349229e-02 2.148388237228930284e-02 9.680056195782289069e-03 1.660228521912627186e-03 4.589796806118944916e-05 9.977230213846180473e-03 9.314560981162593387e-03 6.064079224732395017e-03 1.982693006741145618e-03 2.158796520088932035e-04 3.775336690627062713e-06
2.238721138568339902e-02 2.939089857738343831e-02 2.815718704771371858e-02 2.124721365805574969e-02 9.621158918088320092e-03 1.655547816895690033e-03 4.583339366814156220e-05 1.112731643265256996e-02 1.038847977010025521e-02 6.772907753465344689e-03 2.218457507207468368e-03 2.417834001613747925e-04 4.226751017858798661e-06
2.511886431509579437e-02 2.882132891688832244e-02 2.763887145945945895e-02 2.095129600818784049e-02 9.547364393685855641e-03 1.649683240502949032e-03 4.575300319177351297e-05 1.239061130231478187e-02 1.156823654540885433e-02 7.555641480038131734e-03 2.480489377963362215e-03 2.706719765788497944e-04 4.729783049019621347e-06
2.818382931264453578e-02 2.811196648313396898e-02 2.699372158812447797e-02 2.058201118302476276e-02 9.455016124448699724e-03 1.642343816573098953e-03 4.565313578341277092e-05 1.377023266971008457e-02 1.285683401601563948e-02 8.416301721836621022e-03 2.770994554062630993e-03 3.028403576021052295e-04 5.289515197740232992e-06
3.162277660168379134e-02 2.723094948857211414e-02 2.619304960500105570e-02 2.012217334408215180e-02 9.339624352500882146e-03 1.633171566911271935e-03 4.552937291220780411e-05 1.526563646796359058e-02 1.425391567399418059e-02 9.357473325934489300e-03 3.092056354470009479e-03 3.385932983894955552e-04 5.911264812651201781e-06
3.548133892335755130e-02 2.614054825727358394e-02 2.520301682275877600e-02 1.955118710253558184e-02 9.195710047840872925e-03 1.621728396253463650e-03 4.537641525070924592e-05 1.687077406038752642e-02 1.575408525449964459e-02 1.037945152581601534e-02 3.445481619340308443e-03 3.782372731428402320e-04 6.600510588417508076e-06
3.981071705534973415e-02 2.483885037616119160e-02 2.398448921974185091e-02 1.884468627920055095e-02 9.016642717701294288e-03 1.607481545560498050e-03 4.518794989619267496e-05 1.849684594420617639e-02 1.734468498853095758e-02 1.147906634582822327e-02 3.832573184967236549e-03 4.220685804547810813e-04 7.362790310056733256e-06
4.466835921509629964e-02 2.321540662816344927e-02 2.249342106139546119e-02 1.797437258121085957e-02 8.794482228096062171e-03 1.589788092212213741e-03 4.495651078783734125e-05 2.024204818642191817e-02 1.900295241807280905e-02 1.264812394684271778e-02 4.253818921677837706e-03 4.703565221159150176e-04 8.203565589435094684e-06
5.011872336272724798e-02 2.124682445671418132e-02 2.068212119354989956e-02 1.690820048254260480e-02 8.519845444632691625e-03 1.567879182968614756e-03 4.467333449485389103e-05 2.201013905895079364e-02 2.069253285801957512e-02 1.387140004691741688e-02 4.708472517574791190e-03 5.233203217072184520e-04 9.128048251988169292e-06
5.623413251903491145e-02 1.888257522520304238e-02 1.850188545112816177e-02 1.561114905112693900e-02 8.181837163902186058e-03 1.540845399932186865e-03 4.432821620518975108e-05 2.374039469335371966e-02 2.235944896349036787e-02 1.512415662424107174e-02 5.194002714807351845e-03 5.810985887788883272e-04 1.014098150013051189e-05
6.309573444801933051e-02 1.607722203936646707e-02 1.590760020077730541e-02 1.404689631201399419e-02 7.768094643326671142e-03 1.507624999497093974e-03 4.390937194719787714e-05 2.534839556451992312e-02 2.392785588021619642e-02 1.636929733223121269e-02 5.705388769831030993e-03 6.437097360914718598e-04 1.124637054384925809e-05
