# W Re(E=0.1) Re(E=0.2) Re(E=0.5) Re(E=1.0) Re(E=2.0) Re(E=5.0) Im(E=0.1) Im(E=0.2) Im(E=0.5) Im(E=1.0) Im(E=2.0) Im(E=5.0)
1.000000000000000021e-02 1.480571912161899872e-01 1.434799159310170824e-01 1.173417958299383113e-01 6.837405198894035141e-02 2.201505217439662584e-02 2.438901658263394143e-03 8.833104263107734860e-03 8.394169388023134393e-03 6.108786356895806909e-03 2.769645211718917838e-03 6.400157169622229525e-04 5.182797996610103444e-05
1.122018454301963557e-02 1.479665042397054209e-01 1.433956192934287832e-01 1.172876401743906810e-01 6.835444177678885735e-02 2.201137668001329137e-02 2.438637595369327633e-03 9.907452361844116054e-03 9.415279369510901400e-03 6.852393720798654296e-03 3.107029169456578845e-03 7.179864495299077571e-04 5.812890714706244057e-05
1.258925411794167490e-02 1.478524076215033678e-01 1.432895593800096179e-01 1.172194945865512178e-01 6.832976456421174793e-02 2.200675290738553919e-02 2.438306170342937132e-03 1.111146875845845684e-02 1.055969326586599435e-02 7.686002847023615248e-03 3.485348052362604362e-03 8.054205972843541880e-04 6.518945882569079507e-05
1.412537544622754007e-02 1.477088817384502040e-01 1.431561338437435660e-01 1.171337555917558587e-01 6.829871453892155664e-02 2.200093728447969146e-02 2.437890492305744197e-03 1.246039089117145782e-02 1.184197886623788651e-02 8.620294499842133529e-03 3.909501275277922974e-03 9.034522664820385934e-04 7.309873987818966371e-05
1.584893192461113431e-02 1.475283726382228267e-01 1.429883224848779999e-01 1.170258976810485824e-01 6.825965135931993943e-02 2.199362429307386707e-02 2.437369584735794067e-03 1.397107598489662206e-02 1.327812063550604105e-02 9.667129164303758099e-03 4.384946998209130614e-03 1.013345639712471711e-03 8.195539404899796420e-05
1.778279410038922925e-02 1.473014088734953819e-01 1.427773107305171651e-01 1.168902409629064970e-01 6.821051560406816983e-02 2.198443105935621658e-02 2.436717468054252610e-03 1.566210119193367847e-02 1.488588187435492885e-02 1.083964056759226940e-02 4.917754401191946727e-03 1.136507486377522818e-03 9.186831074319495123e-05
1.995262314968879874e-02 1.470161272815900255e-01 1.425120585705942078e-01 1.167196623498680391e-01 6.814872351408195195e-02 2.197287830077901752e-02 2.435902066801741862e-03 1.755383672274541534e-02 1.668472172832548284e-02 1.215232022101445097e-02 5.514655942617511207e-03 1.274499997578599489e-03 1.029572771378319131e-04
2.238721138568339902e-02 1.466576887959566977e-01 1.421787519767852559e-01 1.165052377805666090e-01 6.807103633440336754e-02 2.195836687280495331e-02 2.434883919130402096e-03 1.966847324607596745e-02 1.869587045040511583e-02 1.362108379124974712e-02 6.183097085084392902e-03 1.429053412269025132e-03 1.153535482026324502e-04
2.511886431509579437e-02 1.462075631234725503e-01 1.417601334023062543e-01 1.162358044355019243e-01 6.797339871738539152e-02 2.194014901476743634e-02 2.433614668156586659e-03 2.202997677375786306e-02 2.094230276229627416e-02 1.526330600413332468e-02 6.931279720374080092e-03 1.602077816978355771e-03 1.292002718916363717e-04
2.818382931264453578e-02 1.456426597103097353e-01 1.412346867916225712e-01 1.158974076028715383e-01 6.785073978532436823e-02 2.191729339271037552e-02 2.432035315183153808e-03 2.466393325125149430e-02 2.344861251435663430e-02 1.709780421596574645e-02 7.768194419429712283e-03 1.795673231948402126e-03 1.446527483272525645e-04
3.162277660168379134e-02 1.449342828574441688e-01 1.405756550792900961e-01 1.154726577344571264e-01 6.769672960999786882e-02 2.188864282442238435e-02 2.430074221156853197e-03 2.759723029791976562e-02 2.624074078357597345e-02 1.914474484558941272e-02 8.703630413082787121e-03 2.012136752705349745e-03 1.618784286640913761e-04
3.548133892335755130e-02 1.440468926929145965e-01 1.397498709827942054e-01 1.149399262187521531e-01 6.750348337824836620e-02 2.185276367776501152e-02 2.427644846841150224e-03 3.085750408847886400e-02 2.934549159293928580e-02 2.142543302656259654e-02 9.748159554045175354e-03 2.253964996796375270e-03 1.810566314649860364e-04
3.981071705534973415e-02 1.429363415042294305e-01 1.387163898464830458e-01 1.142724013399449706e-01 6.726120525764051061e-02 2.180788587808136364e-02 2.424643214727006339e-03 3.447345544607104822e-02 3.278974622730426031e-02 2.396193459803695400e-02 1.091307035140109266e-02 2.523849726511622014e-03 2.023779000786462764e-04
4.466835921509629964e-02 1.415493444093775255e-01 1.374249297097377975e-01 1.134369804759716299e-01 6.695776475249920479e-02 2.175183279011373705e-02 2.420945096123887797e-03 3.846917156013647532e-02 3.659925810932983942e-02 2.677645967816158837e-02 1.221023699604416833e-02 2.824664031302573548e-03 2.260429523289505908e-04
5.011872336272724798e-02 1.398202153071738119e-01 1.358141535415808010e-01 1.123930032669819418e-01 6.657820089734271807e-02 2.168194026555264262e-02 2.416402905413670907e-03 4.286812740170834607e-02 4.079687567085407696e-02 2.989041481921596646e-02 1.365189718316244145e-02 3.159435115136732114e-03 2.522611588673953566e-04
5.623413251903491145e-02 1.376699290267128506e-01 1.338098785142832203e-01 1.110908508471253747e-01 6.610415243639171379e-02 2.159496508352635666e-02 2.410842309581089776e-03 4.768670586835457165e-02 4.540000269557117191e-02 3.332300359525177530e-02 1.525029848922420522e-02 3.531300437073204689e-03 2.812484549790851161e-04
6.309573444801933051e-02 1.350042288390198020e-01 1.313233761628714302e-01 1.094704668669006647e-01 6.551322240551230025e-02 2.148698327107193343e-02 2.404058562220056684e-03 5.293120020603395148e-02 5.041706968019566554e-02 3.708924278025445970e-02 1.701717074632234580e-02 3.943441172861986664e-03 3.132246314203574822e-04
7.079457843841380216e-02 1.317124034462076598e-01 1.282500457268933025e-01 1.074599579453036080e-01 6.477829398409308548e-02 2.135328030630821369e-02 2.395812600996290696e-03 5.859263573667030517e-02 5.584276713301727924e-02 4.119712456064492795e-02 1.896297726218301033e-02 4.398988471609814946e-03 3.484098998725026217e-04
7.943282347242813790e-02 1.276670337369216757e-01 1.244689108940071620e-01 1.049744066861461461e-01 6.386683448925506434e-02 2.118823617863221237e-02 2.385826944787848396e-03 6.464003891518380063e-02 6.165180283057454524e-02 4.564392926379785831e-02 2.109587022333027709e-02 4.900895756501720373e-03 3.870206992854994784e-04
8.912509381337459236e-02 1.227254525325306433e-01 1.198436123628795619e-01 1.019153260564024804e-01 6.274024890143585498e-02 2.098521014007439719e-02 2.373781404432044866e-03 7.101202335561236645e-02 6.779102336798184525e-02 5.041124569911131781e-02 2.342028833620428060e-02 5.451770566089495472e-03 4.292647140339021566e-04
1.000000000000000056e-01 1.167339381634227985e-01 1.142258354587100816e-01 9.817119592406592377e-02 6.135338404962775022e-02 2.073643216332584152e-02 2.359308594331263522e-03 7.760679733301052707e-02 7.416993543167182956e-02 5.545872211802873458e-02 2.593510970901589247e-02 6.053659375806785294e-03 4.753350019452584228e-04
1.122018454301963591e-01 1.095359291002375862e-01 1.074623839044457907e-01 9.361982571023660937e-02 5.965430711420584287e-02 2.043291023671926776e-02 2.341989278965024741e-03 8.427113273512200353e-02 8.065003840218505637e-02 6.071646241318628262e-02 2.863132039288986130e-02 6.707778434264634847e-03 5.254029837391259753e-04
1.258925411794167559e-01 1.009856934638357767e-01 9.940729684197657789e-02 8.813340427293478441e-02 5.758457988377448100e-02 2.006436602020011950e-02 2.321347703450922593e-03 9.078953601974186494e-02 8.703400410726469527e-02 6.607633351431334290e-02 3.148912088054944824e-02 7.414184434806869207e-03 5.796100059395626865e-04
1.412537544622754770e-01 9.096872718189828733e-02 8.994055427283963178e-02 8.158749449971935963e-02 5.508025619580084187e-02 1.961921452063226934e-02 2.296847173407675670e-03 9.687584915367211669e-02 9.305668981395227857e-02 7.138280209281351596e-02 3.447449485246995016e-02 8.171380376898854797e-03 6.380572406475636506e-04
1.584893192461114264e-01 7.942942458114864157e-02 7.899295832861133460e-02 7.387495220523843109e-02 5.207394751566363222e-02 1.908460773001073238e-02 2.267886089905597931e-03 1.021706913312706994e-01 9.838086156003034155e-02 7.642467606476173458e-02 3.753529656935557235e-02 8.975852078373329837e-03 7.007939288055897416e-04
1.778279410038922925e-01 6.640498484799986501e-02 6.657939700924116189e-02 6.492584626211389542e-02 4.849833646528840109e-02 1.844656695762900492e-02 2.233794603518096059e-03 1.062492329161161958e-01 1.026023056097688790e-01 8.092993054712276091e-02 4.059705697160697485e-02 9.821535750924368854e-03 7.678037089854808459e-04
1.995262314968879735e-01 5.206194417870396718e-02 5.283415094645412674e-02 5.473332742306327714e-02 4.429156407384220173e-02 1.769023445094616842e-02 2.193832153090851788e-03 1.086441971570913795e-01 1.052686447037934486e-01 8.456679722947747779e-02 4.355885241853959394e-02 1.069921937155769200e-02 8.389885902042133400e-04
2.238721138568340041e-01 3.672840487107797286e-02 3.804464187246651280e-02 4.338429905838461775e-02 3.940494345264364956e-02 1.680028108318904617e-02 2.147186661899753036e-03 1.088879086965940518e-01 1.059164615625696748e-01 8.695516235350829459e-02 4.628983499656078027e-02 1.159588758764385462e-02 9.141498721635358963e-04
2.511886431509580686e-01 2.091186522025060765e-02 2.267332834786962500e-02 3.109073476797416524e-02 3.381335047522621845e-02 1.576151499452814464e-02 2.092976061143069638e-03 1.065738999551756050e-01 1.041281447903114055e-01 8.769269491361286750e-02 4.862731516212055738e-02 1.249402934675867237e-02 9.929657408449313587e-04
2.818382931264454827e-01 5.291108936909774685e-03 7.356464319021034474e-03 1.821506943348233376e-02 2.752846521010953937e-02 1.455974278411691948e-02 2.030253319639020206e-03 1.014328978278964816e-01 9.960490242736477762e-02 8.639858228833278975e-02 5.037768656780904769e-02 1.337094080623206852e-02 1.074966231625129132e-03
3.162277660168379412e-01 -9.327338482530761130e-03 -7.130707921671564607e-03 5.279617149594843795e-03 2.061460198353878490e-02 1.318294350050425515e-02 1.958015747763181685e-03 9.341098958498438021e-02 9.224548670986808252e-02 8.277484479528159078e-02 5.132192566321023414e-02 1.419807529849210527e-02 1.159503601382350915e-03
3.548133892335754713e-01 -2.209116001966878948e-02 -1.994737865564366608e-02 -7.051083042092691835e-03 1.320610264105213753e-02 1.162281865590687920e-02 1.875219641860890627e-03 8.273178947947552875e-02 8.221359108033385321e-02 7.667931839715935727e-02 5.122784982904385331e-02 1.494052071677600714e-02 1.245720169765681404e-03
3.981071705534973137e-01 -3.221541203268454140e-02 -3.029474645138146432e-02 -1.802407323020149138e-02 5.523994378143178181e-03 9.876784116502003788e-03 1.780804282908293994e-03 6.992245138765995627e-02 6.997353818038416773e-02 6.819730678209763586e-02 4.987157891257010950e-02 1.555672294613735102e-02 1.332509669614816020e-03
4.466835921509632601e-01 -3.910868142576222339e-02 -3.754194350800492408e-02 -2.689018084353237900e-02 -2.112301601583806230e-03 7.950456695811222718e-03 1.673724089546035649e-03 5.578745685832584705e-02 5.627627440797876995e-02 5.769247736642404978e-02 4.707036942572779409e-02 1.599862421443373414e-02 1.418481692024798875e-03
5.011872336272724660e-01 -4.248579106957161428e-02 -4.134492660040381407e-02 -3.302563998790772337e-02 -9.284944777496103793e-03 5.860663867193742493e-03 1.552994008174027893e-03 4.132422979990121870e-02 4.208651247403572687e-02 4.581502292539737370e-02 4.272751292681254559e-02 1.621245602610124625e-02 1.501916665141165078e-03
5.623413251903490728e-01 -4.243823296139052209e-02 -4.172906752284361726e-02 -3.606093629136846584e-02 -1.549856233700635903e-02 3.638943763953691058e-03 1.417753176197343503e-03 2.758872177921588287e-02 2.845526263416672114e-02 3.344956313059498781e-02 3.688632907989709830e-02 1.614050977207429419e-02 1.580724852387742569e-03
6.309573444801933606e-01 -3.943864169133028813e-02 -3.910633151851784090e-02 -3.598371424566167848e-02 -2.023212093631513234e-02 1.335399107146710692e-03 1.267345277179837476e-03 1.553401569611458782e-02 1.636021854076597989e-02 2.159763415491834995e-02 2.978369274407774783e-02 1.572431453696484377e-02 1.652409694494816556e-03
7.079457843841380216e-01 -3.426872800300095195e-02 -3.421809740865110194e-02 -3.317906325348203567e-02 -2.302810188978371420e-02 -9.774194166970757037e-04 1.101424836562323040e-03 5.856978286920021259e-03 6.543423334951468939e-03 1.120967499597757926e-02 2.188428633938713924e-02 1.490976441864854708e-02 1.714035411539787963e-03
7.943282347242817121e-01 -2.788005624402675395e-02 -2.800166907616206957e-02 -2.837957728092127194e-02 -2.361327507380949278e-02 -3.201232064663780009e-03 9.200904590103565605e-04 -1.107586009440284305e-03 -6.063332506188743101e-04 3.003736152430803562e-03 1.386793144091145145e-02 1.365484369904839887e-02 1.762210037356025123e-03
8.912509381337458958e-01 -2.121933085777467226e-02 -2.141469413437987676e-02 -2.252269514735003725e-02 -2.202312824849842962e-02 -5.210492439925622568e-03 7.240467385414756964e-04 -5.413894653661151073e-03 -5.095037143150555822e-03 -2.674601139209883613e-03 6.541442386440140914e-03 1.194064670297778456e-02 1.793092377693309824e-03
1.000000000000000000e+00 -1.506536689292846398e-02 -1.526356247159266731e-02 -1.654923617333041788e-02 -1.867465569574884923e-02 -6.854542463230748825e-03 5.148177463204908549e-04 -7.444066058989425375e-03 -7.272883024806050395e-03 -5.899047765886713569e-03 6.653484371894570135e-04 9.786263754140062804e-03 1.802440008575559955e-03
1.122018454301964230e+00 -9.923520265436306526e-03 -1.008589603388855734e-02 -1.120863720219028234e-02 -1.431985647188928693e-02 -7.966699442909057349e-03 2.949583198346648872e-04 -7.779670324587201549e-03 -7.709135592358979348e-03 -7.093765349601077394e-03 -3.266651160521788760e-03 7.267521727638526566e-03 1.785706428255964730e-03
1.258925411794167504e+00 -6.001958695736841348e-03 -6.116709924427162111e-03 -6.939660018310533050e-03 -9.848384403817127264e-03 -8.385427255169414229e-03 6.835058684920408668e-05 -7.050246400077102987e-03 -7.036842236040678072e-03 -6.875407287316242025e-03 -5.196353161514925476e-03 4.537826634973760216e-03 1.738223261232844496e-03
