# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.919641505156945663e-03 -1.983922773118490523e-02 -4.959709619985287754e-02 -9.918716220657675109e-02 -1.983154832871393825e-01 -4.943487875163357637e-01
6.220975551662956404e-02 -9.844946233835175434e-03 -1.968981589833839613e-02 -4.922319259489161408e-02 -9.843666043508086938e-02 -1.967921769754887584e-01 -4.900410140169316753e-01
1.244195110332591281e-01 -9.732162853057387680e-03 -1.946422853391500257e-02 -4.865886251278352115e-02 -9.730539540092175699e-02 -1.945081105549217593e-01 -4.838532862413104652e-01
1.866292665498887060e-01 -9.581727725530906140e-03 -1.916333858516482483e-02 -4.790629227134514390e-02 -9.579776830234544571e-02 -1.914723265198381430e-01 -4.758141245722268264e-01
2.488390220665182562e-01 -9.394222877246592024e-03 -1.878831030488654213e-02 -4.696839605159297548e-02 -9.391963312425707922e-02 -1.876967466914895577e-01 -4.659582510385485987e-01
3.110487775831478063e-01 -9.170373744935244459e-03 -1.834059474132455902e-02 -4.584880453177841986e-02 -9.167827324863297989e-02 -1.831961198319776996e-01 -4.543263294320832868e-01
3.732585330997774120e-01 -8.911046368915811686e-03 -1.782192411959889616e-02 -4.455185076667064065e-02 -8.908237267773559676e-02 -1.779879596796103969e-01 -4.409647485466201555e-01
4.354682886164069622e-01 -8.617244042215243052e-03 -1.723430513657106533e-02 -4.308255336931755830e-02 -8.614198200229820912e-02 -1.720924738125559905e-01 -4.259254458603706772e-01
4.976780441330365123e-01 -8.290103428930075541e-03 -1.658001119520688404e-02 -4.144659706220289036e-02 -8.286847926128260156e-02 -1.655324837169286356e-01 -4.092657643323972527e-01
5.598877996496660625e-01 -7.930890166839380320e-03 -1.586157360855428369e-02 -3.965031067415657196e-02 -7.927452585326208445e-02 -1.583333364016881184e-01 -3.910483321084204933e-01
6.220975551662956127e-01 -7.540993971263005961e-03 -1.508177180738803913e-02 -3.770064266850957357e-02 -7.537401767197590696e-02 -1.505228078693598148e-01 -3.713409537599034471e-01
6.843073106829251628e-01 -7.121923259078841335e-03 -1.424362258938031284e-02 -3.560513429662393037e-02 -7.118203165019565404e-02 -1.421309987220466808e-01 -3.502165018741487668e-01
7.465170661995548240e-01 -6.675299313661187291e-03 -1.335036845130993001e-02 -3.337189047942780429e-02 -6.671476790713716520e-02 -1.331902221589715829e-01 -3.277527989902732086e-01
8.087268217161843742e-01 -6.202850013275798199e-03 -1.240546504932656634e-02 -3.100954852756071523e-02 -6.198948770538326158e-02 -1.237348846068057340e-01 -3.040324816798792851e-01
8.709365772328139244e-01 -5.706403147152030661e-03 -1.141256783561485876e-02 -2.852724481845304166e-02 -5.702444743387499737e-02 -1.138013592183364231e-01 -2.791428406444625976e-01
9.331463327494434745e-01 -5.187879345051037497e-03 -1.037551792295167072e-02 -2.593457955602836151e-02 -5.183882884448112044e-02 -1.034278524789970788e-01 -2.531756327247745575e-01
9.953560882660730247e-01 -4.649284647647494717e-03 -9.298327231609383042e-03 -2.324157974562656576e-02 -4.645266578081040654e-02 -9.265426417399916237e-02 -2.262268624972496034e-01
1.057565843782702686e+00 -4.092702746435345970e-03 -8.185162975808719585e-03 -2.045866052336153817e-02 -4.088676764981612893e-02 -8.152204099067900112e-02 -1.983965326090002812e-01
1.119775599299332125e+00 -3.520286923156134510e-03 -7.040331549471274403e-03 -1.759658498529724849e-02 -3.516263989865288375e-02 -7.007402406002409545e-02 -1.697883631691612383e-01
1.181985354815961786e+00 -2.934251719914671413e-03 -5.868261873338442847e-03 -1.466642266759839684e-02 -2.930240177165728196e-02 -5.835429077711119100e-02 -1.405094813684586164e-01
1.244195110332591225e+00 -2.336864372196788709e-03 -4.673488267616840962e-03 -1.167950683412775914e-02 -2.332870163420128207e-02 -4.640799128090926373e-02 -1.106700830661735552e-01
1.306404865849220887e+00 -1.730436037927319398e-03 -3.460632916157437618e-03 -8.647390732839151800e-03 -1.726463016191586222e-02 -3.428118001843926538e-02 -8.038306842496724391e-02
1.368614621365850326e+00 -1.117312856496645171e-03 -2.234387989786288959e-03 -5.581802986666339200e-03 -1.113363170473443547e-02 -2.202064286512165833e-02 -4.976365384860764740e-02
1.430824376882479987e+00 -4.998668723502226177e-04 -9.994974977485218855e-04 -2.494602288477187294e-03 -4.959414145625567691e-03 -9.673720321084527257e-03 -1.892896251584226877e-02
1.493034132399109648e+00 1.195131417460247678e-04 2.392610626766995493e-04 6.022684270679425208e-04 1.234142416321935398e-03 2.711872648702041456e-03 1.200240426783915834e-02
1.555243887915739087e+00 7.384309262570328686e-04 1.477095187507810811e-03 3.696828159192552896e-03 7.423077819529244094e-03 1.508822951538881831e-02 4.291081281491121446e-02
