# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.998904219364404544e-04 -1.999723234173609449e-03 -4.998303086624245051e-03 -9.989462189968614791e-03 -1.992285609439012339e-02 -4.896487725124304413e-02
6.220975551662956404e-02 5.218324851704403931e-03 1.043634105940595587e-02 2.608544977249517907e-02 5.213231702582006577e-02 1.039562238086650520e-01 2.545598153876239556e-01
1.244195110332591281e-01 1.141576716507398601e-02 2.282735579829821629e-02 5.699535142762714862e-02 1.134715273833949573e-01 2.228688399684232158e-01 4.946577210017620851e-01
1.866292665498887060e-01 1.756761877562549451e-02 3.511866242894957912e-02 8.750771186740013974e-02 1.729833900008114211e-01 3.306754445033475154e-01 6.422267330243638384e-01
2.488390220665182562e-01 2.364928862494176942e-02 4.725640946851508706e-02 1.174090052293538244e-01 2.297548204050750831e-01 4.237192105839960310e-01 7.282650357189625057e-01
3.110487775831478063e-01 2.963653539577387058e-02 5.918799410476527356e-02 1.465013473580795700e-01 2.830655645124385833e-01 5.011371306711149831e-01 7.814123882353507522e-01
3.732585330997774120e-01 3.550558637707369042e-02 7.086247218943056425e-02 1.746069736559033581e-01 3.324193179063054671e-01 5.641066579239016887e-01 8.167404277648907529e-01
4.354682886164069622e-01 4.123325077371650660e-02 8.223092682792376706e-02 2.015714743006017384e-01 3.775436914473681016e-01 6.147795350662899061e-01 8.417100644090442785e-01
4.976780441330365123e-01 4.679702626428296208e-02 9.324678767551825009e-02 2.272656736936770894e-01 4.183650802693218429e-01 6.554801997237214017e-01 8.602009441523781330e-01
5.598877996496660625e-01 5.217519780948884356e-02 1.038660952588332798e-01 2.515861711258929878e-01 4.549684219326551871e-01 6.882931021710028130e-01 8.743773034503095065e-01
6.220975551662956127e-01 5.734692793730467725e-02 1.140477070097483392e-01 2.744546715727414488e-01 4.875519924141811234e-01 7.149263515725801099e-01 8.855354653022466938e-01
6.843073106829251628e-01 6.229233796907958365e-02 1.237534440825402426e-01 2.958163164170384829e-01 5.163849588005537949e-01 7.367161472749046425e-01 8.944942183155344395e-01
7.465170661995548240e-01 6.699257989469846464e-02 1.329481802905325971e-01 3.156372682808156749e-01 5.417720986001262062e-01 7.546841859963039356e-01 9.017981983805897217e-01
8.087268217161843742e-01 7.142989884450662297e-02 1.415998765331730191e-01 3.339018136002343540e-01 5.640271983017229873e-01 7.696046289307262311e-01 9.078212081546006562e-01
8.709365772328139244e-01 7.558768633282131333e-02 1.496795658028799714e-01 3.506092277961790904e-01 5.834547123789322054e-01 7.820635035527097045e-01 9.128296467467507114e-01
9.331463327494434745e-01 7.945052465456818591e-02 1.571612952087923232e-01 3.657706101690327838e-01 6.003382894152853311e-01 7.925060257159410870e-01 9.170166017408278858e-01
9.953560882660730247e-01 8.300422299650424274e-02 1.640220324084502579e-01 3.794058484831622780e-01 6.149344894046002707e-01 8.012724074838772914e-01 9.205261116997021098e-01
1.057565843782702686e+00 8.623584597268198204e-02 1.702415444028347047e-01 3.915408246415583160e-01 6.274701296803739670e-01 8.086242705045690871e-01 9.234663308879880184e-01
1.119775599299332125e+00 8.913373540676387818e-02 1.758022568523918139e-01 4.022049286196637263e-01 6.381419809999723247e-01 8.147639038837413139e-01 9.259202531468173625e-01
1.181985354815961786e+00 9.168752625968103198e-02 1.806891019556491340e-01 4.114289112581110963e-01 6.471178527900249833e-01 8.198482482443912867e-01 9.279513892194747315e-01
1.244195110332591225e+00 9.388815763941460446e-02 1.848893625512454675e-01 4.192430788934442543e-01 6.545383895815160002e-01 8.239990468823593650e-01 9.296089916226646377e-01
1.306404865849220887e+00 9.572787983119693256e-02 1.883925195160479071e-01 4.256758139537007990e-01 6.605191251177887635e-01 8.273102178321412037e-01 9.309307005769786869e-01
1.368614621365850326e+00 9.720025825317346602e-02 1.911901087918889963e-01 4.307523945017069922e-01 6.651525055514884155e-01 8.298531983562993375e-01 9.319452171607162105e-01
1.430824376882479987e+00 9.830017517736200361e-02 1.932755935311282758e-01 4.344940808173765601e-01 6.685097075134456279e-01 8.316807897159383955e-01 9.326735939437861278e-01
1.493034132399109648e+00 9.902382996224057266e-02 1.946442559480460743e-01 4.369174369606662056e-01 6.706421522362719934e-01 8.328298678401602206e-01 9.331305588270543128e-01
1.555243887915739087e+00 9.936873842562617132e-02 1.952931125306616722e-01 4.380338584859684303e-01 6.715826642074917974e-01 8.333232082574971722e-01 9.333251327209211023e-01
1.617453643432368748e+00 9.933373184920356314e-02 1.952208553277685332e-01 4.378492829616664195e-01 6.713462509464164230e-01 8.331705871339141201e-01 9.332611144383043955e-01
1.679663398948998188e+00 9.891895595390476359e-02 1.944278210916658700e-01 4.363640668123401900e-01 6.699304963645418276e-01 8.323692540781748583e-01 9.329372998217881907e-01
1.741873154465627849e+00 9.812587002329428709e-02 1.929159891337321464e-01 4.335730195902934292e-01 6.673155690605769852e-01 8.309038179853779349e-01 9.323473108009929788e-01
1.804082909982257288e+00 9.695724618511419868e-02 1.906890078377886932e-01 4.294655946001796343e-01 6.634638529886212055e-01 8.287455381916282171e-01 9.314794827834267377e-01
1.866292665498886949e+00 9.541716869425843905e-02 1.877522488724071847e-01 4.240262424353553605e-01 6.583192148279638500e-01 8.258509635641057001e-01 9.303160094049308659e-01
1.928502421015516388e+00 9.351103289860372703e-02 1.841128872446947395e-01 4.172349410427501071e-01 6.518059336288208883e-01 8.221598061901618237e-01 9.288324010105366568e-01
1.990712176532146049e+00 9.124554341725986395e-02 1.797800044435031164e-01 4.090679219685117163e-01 6.438273378635277489e-01 8.175918675225977150e-01 9.269956903463650866e-01
2.052921932048775489e+00 8.862871092365232073e-02 1.747647110325626918e-01 3.994986168955376726e-01 6.342642275950960418e-01 8.120427455806504824e-01 9.247631323919569546e-01
2.115131687565405372e+00 8.566984680802702812e-02 1.690802841832248493e-01 3.884988507645087963e-01 6.229732107563585863e-01 8.053779329682941857e-01 9.220788317537326195e-01
2.177341443082034811e+00 8.237955489981366175e-02 1.627423147994439268e-01 3.760403068095078405e-01 6.097851589835596720e-01 7.974247569048624751e-01 9.188708697493521704e-01
2.239551198598664250e+00 7.876971936365252669e-02 1.557688581102695258e-01 3.620962837402968426e-01 5.945040965335846028e-01 7.879614059716002483e-01 9.150448650995687272e-01
2.301760954115293689e+00 7.485348784733324157e-02 1.481805809219127468e-01 3.466437550140456514e-01 5.769069800868960041e-01 7.767020349194229123e-01 9.104774993508206737e-01
