# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.919650838695226892e-04 -1.983930174036683571e-03 -4.959825544255821138e-03 -9.919651870127839388e-03 -1.983930998995763265e-02 -4.959838459057053228e-02
6.220975551662956404e-02 -9.955965332747020256e-04 -1.991193070743245939e-03 -4.977982749140069142e-03 -9.955966016370044330e-03 -1.991193617366388696e-02 -4.977991306551299983e-02
1.244195110332591281e-01 -9.953762130992687730e-04 -1.990752428245820028e-03 -4.976881105157962906e-03 -9.953762458952743544e-03 -1.990752690211778503e-02 -4.976885206214908680e-02
1.866292665498887060e-01 -9.913049757219116135e-04 -1.982609951335602069e-03 -4.956524874673934322e-03 -9.913049725713239668e-03 -1.982609925495686098e-02 -4.956524470222235107e-02
2.488390220665182562e-01 -9.833985719721850208e-04 -1.966797141705324721e-03 -4.916992812319215603e-03 -9.833985329104616771e-03 -1.966796828170477157e-02 -4.916987904363167433e-02
3.110487775831478063e-01 -9.716875901931561156e-04 -1.943375176073957721e-03 -4.858437860293482458e-03 -9.716875156710071820e-03 -1.943374578213850901e-02 -4.858428501973312275e-02
3.732585330997774120e-01 -9.562173379010524988e-04 -1.912434669504952528e-03 -4.781086556649594838e-03 -9.562172287732175618e-03 -1.912433793860570178e-02 -4.781072850847052635e-02
4.354682886164069622e-01 -9.370476664989465165e-04 -1.874095324833194515e-03 -4.685238158852281579e-03 -9.370475240021918645e-03 -1.874094180945189148e-02 -4.685220255468981743e-02
4.976780441330365123e-01 -9.142527397235428914e-04 -1.828505469556913985e-03 -4.571263485996911007e-03 -9.142525654442013039e-03 -1.828504069715427768e-02 -4.571241578002282341e-02
5.598877996496660625e-01 -8.879207467199807125e-04 -1.775841481987012159e-03 -4.439603484174024089e-03 -8.879205425524380746e-03 -1.775839840911124651e-02 -4.439577802551573221e-02
6.220975551662956127e-01 -8.581535608549353648e-04 -1.716307108872570280e-03 -4.290767520527793630e-03 -8.581533289524932370e-03 -1.716305243330606967e-02 -4.290738328292319909e-02
6.843073106829251628e-01 -8.250663455882658540e-04 -1.650132677144019577e-03 -4.125331412605905482e-03 -8.250660883076675958e-03 -1.650130605526935190e-02 -4.125298998091153635e-02
7.465170661995548240e-01 -7.887871089283741283e-04 -1.577574202823158649e-03 -3.943935200630277124e-03 -7.887868287697118869e-03 -1.577571944684849625e-02 -3.943899870274770320e-02
8.087268217161843742e-01 -7.494562081936696762e-04 -1.498912400546131667e-03 -3.747280671304545341e-03 -7.494559077382931256e-03 -1.498909976127132601e-02 -3.747242742169731855e-02
8.709365772328139244e-01 -7.072258069975637367e-04 -1.414451597533598285e-03 -3.536128642735409094e-03 -7.072254888453707346e-03 -1.414449027282908659e-02 -3.536088435014227149e-02
9.331463327494434745e-01 -6.622592865571529010e-04 -1.324518556208434568e-03 -3.311296020980064071e-03 -6.622589532658583814e-03 -1.324515860319094157e-02 -3.311253850731261938e-02
9.953560882660730247e-01 -6.147306136028164161e-04 -1.229461210015380355e-03 -3.073652639598054709e-03 -6.147302676313577512e-03 -1.229458407990465831e-02 -3.073608811954403608e-02
1.057565843782702686e+00 -5.648236673352057544e-04 -1.129647317335361664e-03 -2.824117894440521769e-03 -5.648233109925982279e-03 -1.129644427596613113e-02 -2.824072697502909290e-02
1.119775599299332125e+00 -5.127315280318335295e-04 -1.025463038700276386e-03 -2.563657186694700933e-03 -5.127311634342409177e-03 -1.025460078253598306e-02 -2.563610886308733544e-02
1.181985354815961786e+00 -4.586557300575799605e-04 -9.173114428143521078e-04 -2.293278187942586130e-03 -4.586553590937693034e-03 -9.173084269809866909e-03 -2.293231023522334863e-02
1.244195110332591225e+00 -4.028054821674185168e-04 -8.056109471600051645e-04 -2.014026941686779693e-03 -4.028051064745067321e-03 -8.056078893834436525e-03 -2.013979123203636298e-02
1.306404865849220887e+00 -3.453968581178725882e-04 -6.907936992238103468e-04 -1.726983816421120022e-03 -3.453964790683781809e-03 -6.907906109557621771e-03 -1.726935522647764926e-02
1.368614621365850326e+00 -2.866519607204877731e-04 -5.733039046021786963e-04 -1.433259325907025204e-03 -2.866515794196245262e-03 -5.733007952720033107e-03 -1.433210703951424102e-02
1.430824376882479987e+00 -2.267980625687595871e-04 -4.535961084577965754e-04 -1.133989832822723288e-03 -2.267976798631796652e-03 -4.535929855235277738e-03 -1.133940998944666170e-02
1.493034132399109648e+00 -1.660667267648594804e-04 -3.321334369733888693e-04 -8.303331524071946596e-04 -1.660663432617803066e-03 -3.321303060522852631e-03 -8.302841940679291446e-03
1.555243887915739087e+00 -1.046929110469422799e-04 -2.093858056076100288e-04 -5.234640731087063324e-04 -1.046925271427971878e-03 -2.093826706787874775e-03 -5.234150521566566759e-03
1.617453643432368748e+00 -4.291405878341527204e-05 -8.582810108385976696e-05 -2.145698115644912403e-04 -4.291367470053263490e-04 -8.582496475637280652e-04 -2.145207684244036100e-03
1.679663398948998188e+00 1.903081964914371565e-05 3.806165585315678411e-05 9.515458050122395785e-05 1.903120381898463489e-04 3.806479202020550878e-04 9.520362180987325049e-04
1.741873154465627849e+00 8.090207155098946357e-05 1.618041598071120535e-04 4.045108396955694394e-04 8.090245579791347777e-04 1.618072949425358991e-03 4.045598659028286012e-03
1.804082909982257288e+00 1.424603290684246511e-04 2.849206750685953464e-04 7.123021268006663733e-04 1.424607134131727687e-03 2.849238086020969025e-03 7.123511293200488967e-03
1.866292665498886949e+00 2.034674352622176888e-04 4.069348877510299859e-04 1.017337657110703843e-03 2.034678197029194443e-03 4.069380190133181814e-03 1.017386625794259973e-02
1.928502421015516388e+00 2.636873654896099020e-04 5.273747485570491871e-04 1.318437307346451018e-03 2.636877499509005483e-03 5.273778763847845885e-03 1.318486224302280706e-02
1.990712176532146049e+00 3.228871405385453741e-04 6.457742990453423093e-04 1.614436181326184662e-03 3.228875248222894036e-03 6.457774214057934899e-03 1.614485015038862742e-02
2.052921932048775489e+00 3.808377279787623134e-04 7.616754743339601997e-04 1.904189116726323627e-03 3.808381117204852166e-03 7.616785879834792744e-03 1.904237816707812780e-02
2.115131687565405372e+00 4.373149282435198171e-04 8.746298752661180783e-04 2.186575115498045219e-03 4.373153108750257347e-03 8.746329754554275568e-03 2.186623607679458528e-02
2.177341443082034811e+00 4.921002420146586200e-04 9.842005031791005616e-04 2.460501680800205194e-03 4.921006227348300247e-03 9.842035834190096186e-03 2.460549863847911675e-02
2.239551198598664250e+00 5.449817155538366070e-04 1.089963450568845905e-03 2.724909043664814137e-03 5.449820933084926350e-03 1.089966502464179490e-02 2.724956786373861420e-02
2.301760954115293689e+00 5.957547607102737326e-04 1.191509541106830451e-03 2.978774263049854473e-03 5.957551341822895676e-03 1.191512554266681810e-02 2.978821402928540779e-02
2.363970709631923572e+00 6.442229464331326698e-04 1.288445912664480707e-03 3.221115183408420051e-03 6.442233140427997690e-03 1.288448874693606978e-02 3.221161526527419050e-02
2.426180465148553012e+00 6.901987587248418999e-04 1.380397537221847307e-03 3.450994234470478820e-03 6.901991186411816220e-03 1.380400433793957382e-02 3.451039556605371011e-02
2.488390220665182451e+00 7.335043260962782925e-04 1.467008671779355782e-03 3.667522058531834644e-03 7.335046762590900597e-03 1.467011486792696266e-02 3.667566107578147661e-02
2.550599976181812334e+00 7.739721077176062603e-04 1.547944234658662392e-03 3.869860951215774256e-03 7.739724458684840019e-03 1.547946950467838159e-02 3.869903450822673868e-02
2.612809731698441773e+00 8.114455416008914618e-04 1.622891101869985541e-03 4.057228102400433148e-03 8.114458653238990418e-03 1.622893699589346775e-02 4.057268756706201851e-02
2.675019487215071212e+00 8.457796503083637530e-04 1.691559318528585484e-03 4.228898624767120883e-03 8.457799570776032561e-03 1.691561778395897497e-02 4.228937124103458040e-02
2.737229242731700651e+00 8.768416018418641626e-04 1.753683220634099336e-03 4.384208358255868229e-03 8.768418890755183201e-03 1.753685522424349580e-02 4.384244385632826702e-02
2.799438998248330535e+00 9.045112235442985104e-04 1.809022462873654310e-03 4.522556439577783520e-03 9.045114886625576708e-03 1.809024586349012101e-02 4.522589677745347120e-02
2.861648753764959974e+00 9.286814670240535387e-04 1.857362948471211932e-03 4.643407626841449844e-03 9.286817075096754498e-03 1.857364873852715773e-02 4.643437765695689057e-02
2.923858509281589413e+00 9.492588223047992557e-04 1.898517657486072270e-03 4.746294370301728377e-03 9.492590357639826143e-03 1.898519365931530811e-02 4.746321114394012192e-02
2.986068264798219296e+00 9.661636795972835309e-04 1.932327370356932798e-03 4.830818621218015141e-03 9.661638638188163944e-03 1.932328844428983505e-02 4.830841697117006783e-02
3.048278020314848735e+00 9.793306372939828211e-04 1.958661283890698272e-03 4.896653371824434033e-03 9.793307903054142977e-03 1.958662508000202918e-02 4.896672535086833700e-02
3.110487775831478174e+00 9.887087549953902429e-04 1.977417517313966380e-03 4.943543920454573568e-03 9.887088751136210996e-03 1.977418478123599277e-02 4.943558961970759280e-02
3.172697531348107614e+00 9.942617505881161562e-04 1.988523506429386561e-03 4.971308856926701276e-03 9.942618364636028258e-03 1.988524193203209528e-02 4.971319608426937042e-02
