# W Re(E=0.1) Re(E=0.2) Re(E=0.5) Re(E=1.0) Re(E=2.0) Re(E=5.0) Im(E=0.1) Im(E=0.2) Im(E=0.5) Im(E=1.0) Im(E=2.0) Im(E=5.0)
1.000000000000000021e-02 3.118669929090723061e-02 2.979309574493175031e-02 2.217666285870718151e-02 9.851828379919692902e-03 1.673882183512046071e-03 4.608874294139703181e-05 5.088489839669758930e-03 4.750562198521888005e-03 3.079826328724604313e-03 1.001728294791633719e-03 1.087692363278783297e-04 1.904756309859076031e-06
1.122018454301963557e-02 3.106923675602145385e-02 2.968599209656681837e-02 2.211603043145399933e-02 9.836834157555299565e-03 1.672690368619431751e-03 4.607193392016729530e-05 5.700742372732302450e-03 5.322253050610436728e-03 3.451645625839723942e-03 1.123172201638352255e-03 1.219848452904163602e-04 2.135898219768710517e-06
1.258925411794167490e-02 3.092167832072140188e-02 2.955145613511995367e-02 2.203983177593260567e-02 9.817980378218495174e-03 1.671191840770090958e-03 4.605084537112686180e-05 6.384158962235722545e-03 5.960434790332108483e-03 3.867201387338918550e-03 1.259111832876992892e-03 1.367899582954275296e-04 2.394734407159292277e-06
1.412537544622754007e-02 3.073641619940097394e-02 2.938268734824799402e-02 2.194411374710760268e-02 9.794280968839793808e-03 1.669308266029687201e-03 4.602440888136219774e-05 7.145977992185238888e-03 6.671122013239591531e-03 4.331163090427782303e-03 1.411183860006008997e-03 1.533691385059416485e-04 2.684445413233589628e-06
1.584893192461113431e-02 3.050397941167956595e-02 2.917088078451679847e-02 2.182394440371435151e-02 9.764502208905087230e-03 1.666941645285292990e-03 4.599130012172161059e-05 7.993737568894715081e-03 7.462608301754413039e-03 4.848499546435186200e-03 1.581170973725798358e-03 1.719256901476660037e-04 3.008525648121053234e-06
1.778279410038922925e-02 3.021261258986582265e-02 2.890543615242783040e-02 2.167318530162561444e-02 9.727103011223939277e-03 1.663969567499888396e-03 4.594988269208909578e-05 8.935081022218977626e-03 8.341498020732644042e-03 5.424407557489080087e-03 1.770998166089316969e-03 1.926824516881240604e-04 3.370796053562830481e-06
1.995262314968879874e-02 2.984778012502211503e-02 2.857315902661754226e-02 2.148421942704617504e-02 9.680162233594797119e-03 1.660239423922436420e-03 4.589814191571659825e-05 9.977450602181787628e-03 9.314760653216827904e-03 6.064190185339430120e-03 1.982720138252245905e-03 2.158821228984005806e-04 3.775410335415183999e-06
2.238721138568339902e-02 2.939159514763266257e-02 2.815783423426380591e-02 2.124763138573979721e-02 9.621291044078586832e-03 1.655561410582114586e-03 4.583360759955081151e-05 1.112762512927487589e-02 1.038875933932697886e-02 6.773063410094730050e-03 2.218495621906695428e-03 2.417868637295543424e-04 4.226852621056799600e-06
2.511886431509579437e-02 2.882218322325544660e-02 2.763966518636296749e-02 2.095181155029675335e-02 9.547528585489078665e-03 1.649700150235231628e-03 4.575326518717661437e-05 1.239104281490996384e-02 1.156862709180452725e-02 7.555859450632620468e-03 2.480542847830201954e-03 2.706768228193168809e-04 4.729922627009387076e-06
2.818382931264453578e-02 2.811300671286251149e-02 2.699468805046849329e-02 2.058264403312627319e-02 9.455219474799726395e-03 1.642364789609202132e-03 4.565345484587236987e-05 1.377083419876080211e-02 1.285737803308163556e-02 8.416606268760467094e-03 2.771069435890228128e-03 3.028471235397659509e-04 5.289706025224648050e-06
3.162277660168379134e-02 2.723220428272299029e-02 2.619421543699813892e-02 2.012294484395637378e-02 9.339875124195764003e-03 1.633197485654343424e-03 4.552975892253416156e-05 1.526647218352250417e-02 1.425467074663586478e-02 9.357897644431501655e-03 3.092160997845721463e-03 3.386027193450335399e-04 5.911524315632137585e-06
