# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
6.220975551662956127e-01 -7.469110445282825528e-03 -1.493800292911746930e-02 -3.734118870527145667e-02 -7.465488348702642440e-02 -1.490827529353273284e-01 -3.677158325766250457e-01
6.843073106829251628e-01 -7.045937536074120371e-03 -1.409164984544709204e-02 -3.522517991469521076e-02 -7.042196314519788558e-02 -1.406096225993329341e-01 -3.463995784338654293e-01
7.465170661995548240e-01 -6.595505360731292697e-03 -1.319077974042586615e-02 -3.297290479636588029e-02 -6.591669871982651363e-02 -1.315933520507991950e-01 -3.237574534301259077e-01
8.087268217161843742e-01 -6.119556529864757059e-03 -1.223887772683711350e-02 -3.059307416357618520e-02 -6.115649749176820665e-02 -1.220686320424224369e-01 -2.998727233946781312e-01
8.709365772328139244e-01 -5.619932371024194233e-03 -1.123962632723770651e-02 -2.809489196232687822e-02 -5.615975023037120262e-02 -1.120720987578320837e-01 -2.748333026432293602e-01
9.331463327494434745e-01 -5.098565805909862497e-03 -1.019689123399011854e-02 -2.548801977275755651e-02 -5.094576093390393995e-02 -1.016421995475798035e-01 -2.487315590777124941e-01
9.953560882660730247e-01 -4.557473873209360975e-03 -9.114706361194125153e-03 -2.278253954847897153e-02 -4.553467309868696605e-02 -9.081905202528159360e-02 -2.216640883861793199e-01
1.057565843782702686e+00 -3.998749925954385442e-03 -7.997258246085235667e-03 -1.998891473384989750e-02 -3.994739276888381596e-02 -7.964429680348944496e-02 -1.937314568705123807e-01
1.119775599299332125e+00 -3.424555533560721780e-03 -6.848869859978235809e-03 -1.711794990540005390e-02 -3.420550863120476459e-02 -6.816094418060986149e-02 -1.650379134924422897e-01
1.181985354815961786e+00 -2.837112119861900060e-03 -5.673983891112956493e-03 -1.418074908930284060e-02 -2.833120943125406674e-02 -5.641321512797854015e-02 -1.356910724891492726e-01
1.244195110332591225e+00 -2.238692369475618095e-03 -4.477145563816010455e-03 -1.118867291209256487e-02 -2.234719900032470716e-02 -4.444637696852376391e-02 -1.058015684013194901e-01
1.306404865849220887e+00 -1.631611435744772555e-03 -3.262985060202251535e-03 -8.153294746608426291e-03 -1.627660919329178973e-02 -3.230657418414877718e-02 -7.548268564178346740e-02
1.368614621365850326e+00 -1.018217984266253434e-03 -2.036199612204606709e-03 -5.086356019466760012e-03 -1.014291104921205555e-02 -2.004065483654494245e-02 -4.484996486506168112e-02
1.430824376882479987e+00 -4.008851066593902175e-04 -8.015353330306947393e-04 -1.999720850133020374e-03 -3.969824496718248399e-03 -7.695993134614768916e-03 -1.402078840346911680e-02
1.493034132399109648e+00 2.179988602692265777e-04 4.362311418053342171e-04 1.094669805123064076e-03 2.218773063942152193e-03 4.679691270139028914e-03 1.688605305758099362e-02
1.555243887915739087e+00 8.360395744442563866e-04 1.672311132946507645e-03 4.184844328491647142e-03 8.398938961141501347e-03 1.703851663170025815e-02 4.775081053882604398e-02
1.617453643432368748e+00 1.450845951772820365e-03 2.901922443711812006e-03 7.258846757212389367e-03 1.454675788467013967e-02 2.933262442696875361e-02 7.845324170357946547e-02
1.679663398948998188e+00 2.060039416891278497e-03 4.120307862990487367e-03 1.030478306228093006e-02 2.063843459351603210e-02 4.151436592487378618e-02 1.088730890088096814e-01
1.741873154465627849e+00 2.661263105619858862e-03 5.322753572877396075e-03 1.331086720943151433e-02 2.665038633427277773e-02 5.353648924857162122e-02 1.388905696357947972e-01
1.804082909982257288e+00 3.252190983524689064e-03 6.504607389732139713e-03 1.626546682263763782e-02 3.255933460048161115e-02 6.535232613426078530e-02 1.683868759851495367e-01
1.866292665498886949e+00 3.830536845311858542e-03 7.661296767943685804e-03 1.915714827122055181e-02 3.834239585986586041e-02 7.691597755608631237e-02 1.972446856700065254e-01
1.928502421015516388e+00 4.394063160237931566e-03 8.788346496564538451e-03 2.197472100325850372e-02 4.397717087522597101e-02 8.818249735709000892e-02 2.253486799971565202e-01
1.990712176532146049e+00 4.940589729313976837e-03 9.881396020125676055e-03 2.470728095037454108e-02 4.944183224617493266e-02 9.910807300206367354e-02 2.525860699137053578e-01
2.052921932048775489e+00 5.468002120804595079e-03 1.093621631638082292e-02 2.734425283216999208e-02 5.471520980283268998e-02 1.096502025503157951e-01 2.788471282931273554e-01
2.115131687565405372e+00 5.974259851373213241e-03 1.194872626541550013e-02 2.987543119254127202e-02 5.977687348902187281e-02 1.197678669357711834e-01 3.040257271149039986e-01
2.177341443082034811e+00 6.457404281205676722e-03 1.291500844652390678e-02 3.229102000487956564e-02 6.460721338148817106e-02 1.294216966396427027e-01 3.280198774365618575e-01
2.239551198598664250e+00 6.915566192541008038e-03 1.383132430146340533e-02 3.458167068869853061e-02 6.918751650272712828e-02 1.385741318482618389e-01 3.507322690712928459e-01
2.301760954115293689e+00 7.346973022257639006e-03 1.469412860516586608e-02 3.673851838652272134e-02 7.350004009839136709e-02 1.471895752069548591e-01 3.720708056258837382e-01
2.363970709631923572e+00 7.749955720495976461e-03 1.550008318767739229e-02 3.875321635688601385e-02 7.752808106559436196e-02 1.552345363113768473e-01 3.919491289801962930e-01
2.426180465148553012e+00 8.122955208741552968e-03 1.624606985402421086e-02 4.061796834703376713e-02 8.125604123597525430e-02 1.626777671214325593e-01 4.102871253391354722e-01
2.488390220665182451e+00 8.464528412340965868e-03 1.692920245184320605e-02 4.232555881718447904e-02 8.466948823694278592e-02 1.694903875405140148e-01 4.270114028151810182e-01
2.550599976181812334e+00 8.773353844069773505e-03 1.754683803995064906e-02 4.386938089732249357e-02 8.775521167618283158e-02 1.756460004741356162e-01 4.420557284907322138e-01
2.612809731698441773e+00 9.048236717114454056e-03 1.809658711454831259e-02 4.524346196680273380e-02 9.050127441808043793e-02 1.811207957664916490e-01 4.553614114580804562e-01
