# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -4.988001477103319592e-02 -9.904058122003700504e-02 -2.351315183856762525e-01 -3.917227655576736023e-01 -5.144568943671179451e-01 -6.396128364137454447e-01
6.220975551662956404e-02 -4.667796341357454554e-02 -9.265586538964104557e-02 -2.195546323899068564e-01 -3.639368846647865197e-01 -4.738997023874641501e-01 -5.783457027929875816e-01
1.244195110332591281e-01 -4.329546257000858878e-02 -8.591371376475763488e-02 -2.031358976843297137e-01 -3.345991178820039158e-01 -4.298652660858238717e-01 -5.072893796234654307e-01
1.866292665498887060e-01 -3.974550358574369113e-02 -7.883944875127658902e-02 -1.859269999257767980e-01 -3.037512757009269704e-01 -3.823233165103206987e-01 -4.249318155122869811e-01
2.488390220665182562e-01 -3.604172419879249356e-02 -7.145966992747518343e-02 -1.679829478739131576e-01 -2.714475294019029761e-01 -3.312873843626574777e-01 -3.319952137611689169e-01
3.110487775831478063e-01 -3.219835910620630348e-02 -6.380217734875154312e-02 -1.493622068320287488e-01 -2.377553160531541976e-01 -2.768177389238020702e-01 -2.274067831469516188e-01
3.732585330997774120e-01 -2.823018815494091754e-02 -5.589588945703819617e-02 -1.301267930897067049e-01 -2.027560670727894254e-01 -2.190241609516394572e-01 -1.125071946976256149e-01
4.354682886164069622e-01 -2.415248224628123441e-02 -4.777075508578399604e-02 -1.103423228231643627e-01 -1.665457709299232036e-01 -1.580686127015681619e-01 1.330760801075699627e-02
4.976780441330365123e-01 -1.998094705776141955e-02 -3.945765913364241567e-02 -9.007801002374815624e-02 -1.292353792451940708e-01 -9.416829277299834655e-02 1.478695052918670427e-01
5.598877996496660625e-01 -1.573166470439010117e-02 -3.098832158485134713e-02 -6.940660902382679576e-02 -9.095106066796268540e-02 -2.759922041488584513e-02 2.910520709895774716e-01
6.220975551662956127e-01 -1.142103348165965197e-02 -2.239518967876166777e-02 -4.840429807345441454e-02 -5.183430368332144628e-02 4.129900125301585317e-02 4.390490988923306248e-01
6.843073106829251628e-01 -7.065705855798395940e-03 -1.371132317150283372e-02 -2.715050121270275174e-02 -1.204186801804150650e-02 1.121168962484165033e-01 5.893795658627628553e-01
7.465170661995548240e-01 -2.682524891445603899e-03 -4.970272786017412153e-03 -5.727646423474781583e-03 2.825442117154898861e-02 1.843663073157835730e-01 7.317962799525475903e-01
8.087268217161843742e-01 1.711540667284716091e-03 3.794047891004885369e-03 1.577914121729360672e-02 6.886805267691295529e-02 2.574682620864416904e-01 8.474177165931174871e-01
8.709365772328139244e-01 6.099462420309611707e-03 1.254749663911783331e-02 3.728241186936468582e-02 1.095984086714594519e-01 3.307358572169732946e-01 9.025039793385509768e-01
9.331463327494434745e-01 1.046421917206248262e-02 2.125584236561536833e-02 5.869282833580760639e-02 1.502315800137521418e-01 4.033506709513839938e-01 9.148677810281395928e-01
9.953560882660730247e-01 1.478886433721574023e-02 2.988490963626603755e-02 7.991966708732183011e-02 1.905414688277305424e-01 4.743307287793593341e-01 9.195714117251425623e-01
1.057565843782702686e+00 1.905659357796243847e-02 3.840072705269477471e-02 1.008713802048454983e-01 2.302912523364181729e-01 5.424904003734656310e-01 9.225202000717402928e-01
1.119775599299332125e+00 2.325081234026845495e-02 4.676967840442627922e-02 1.214562140583778788e-01 2.692353027414441380e-01 6.063992395383832612e-01 9.253921346646276636e-01
1.181985354815961786e+00 2.735520294131098956e-02 5.495865538962440427e-02 1.415828787752363704e-01 3.071216753780380282e-01 6.643691037404071409e-01 9.273693642177029961e-01
1.244195110332591225e+00 3.135379084944594358e-02 6.293521058491702291e-02 1.611612604802372117e-01 3.436952957689011767e-01 7.145467877374472865e-01 9.293123813702909297e-01
1.306404865849220887e+00 3.523100979194995763e-02 7.066770925561009775e-02 1.801031659282101571e-01 3.787019846082549934e-01 7.552494614996825284e-01 9.305717376062668800e-01
1.368614621365850326e+00 3.897176532478318495e-02 7.812547853804564790e-02 1.983230865677067523e-01 4.118934380248758798e-01 7.856084253685295948e-01 9.318049901672795787e-01
1.430824376882479987e+00 4.256149650290282777e-02 8.527895249923470034e-02 2.157389664123371131e-01 4.430332167506675911e-01 8.061860872498267661e-01 9.324684935807061592e-01
1.493034132399109648e+00 4.598623529919620978e-02 9.209981158865063189e-02 2.322729555552831560e-01 4.719036762591699019e-01 8.188875246632278948e-01 9.331081478725042899e-01
1.555243887915739087e+00 4.923266343498246267e-02 9.856111504511977373e-02 2.478521290012601908e-01 4.983135721815682428e-01 8.260923864324472010e-01 9.332429292814169441e-01
1.617453643432368748e+00 5.228816630454868886e-02 1.046374249089123548e-01 2.624091490098970914e-01 5.221058082270655376e-01 8.298016764438295167e-01 9.333461294353195825e-01
1.679663398948998188e+00 5.514088370078430723e-02 1.103049204146002993e-01 2.758828486719807627e-01 5.431645024850925152e-01 8.313410114460157985e-01 9.329674721138287996e-01
1.741873154465627849e+00 5.777975707719028298e-02 1.155415017016720169e-01 2.882187152916980133e-01 5.614203211758290735e-01 8.314672278301062924e-01 9.325453406621724284e-01
