# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.892679669759025726e-03 -1.973511451549832957e-02 -4.852963477003854192e-02 -9.257649678780581481e-02 -1.644096433557478143e-01 -2.977584486067184621e-01
6.220975551662956404e-02 -3.721906068517317340e-03 -7.416300964973823739e-03 -1.809802202767667526e-02 -3.373704771271415770e-02 -5.607783557063336644e-02 -7.846644867774738019e-02
1.244195110332591281e-01 2.464976615903550182e-03 4.944719191342492395e-03 1.259941195368159510e-02 2.651826311448506057e-02 5.914516534436837364e-02 1.809672980285922661e-01
1.866292665498887060e-01 8.643260305036083030e-03 1.729401482600522594e-02 4.335490911355758398e-02 8.736053976930435727e-02 1.774858471495076584e-01 4.494717566969217981e-01
2.488390220665182562e-01 1.478823634089101134e-02 2.957740271979357460e-02 7.395337056551376520e-02 1.478582390201708119e-01 2.938198452594725785e-01 6.637221899745742171e-01
3.110487775831478063e-01 2.087531941619921033e-02 4.174089028438129900e-02 1.041773742044866113e-01 2.070209990497491881e-01 4.020198859005960079e-01 7.678376095274210833e-01
3.732585330997774120e-01 2.688017131128046106e-02 5.373112285162573443e-02 1.338126628551652708e-01 2.638609259365409243e-01 4.960554522752477768e-01 8.115274400503894592e-01
4.354682886164069622e-01 3.277882292304826195e-02 6.549582420113432557e-02 1.626538074921336785e-01 3.174677993088782513e-01 5.719684984467843236e-01 8.392957219128824864e-01
4.976780441330365123e-01 3.854779309918576757e-02 7.698421896260126962e-02 1.905096917153441538e-01 3.670887803669909966e-01 6.296657766106765752e-01 8.586712451626277165e-01
5.598877996496660625e-01 4.416420286362572611e-02 8.814742602828569418e-02 2.172084357112999409e-01 4.121971403602389117e-01 6.725101192570707154e-01 8.735430915424950982e-01
6.220975551662956127e-01 4.960588373588058209e-02 9.893881313979364933e-02 2.426013924737344396e-01 4.525319679386838323e-01 7.048149731852486610e-01 8.849085358264011658e-01
6.843073106829251628e-01 5.485147900214212835e-02 1.093143043297967187e-01 2.665659125495500881e-01 4.880957718505813947e-01 7.299171552839827104e-01 8.941296906904707686e-01
7.465170661995548240e-01 5.988053698468843306e-02 1.192326338246370021e-01 2.890066832137904163e-01 5.191097953107918217e-01 7.499320752431820614e-01 9.014892238583702699e-01
8.087268217161843742e-01 6.467359557001199633e-02 1.286555422372619439e-01 3.098555901330264373e-01 5.459418090731091855e-01 7.661809839376327869e-01 9.076386781602748810e-01
8.709365772328139244e-01 6.921225748721050730e-02 1.375479132676820093e-01 3.290702014514909624e-01 5.690291141479831838e-01 7.795364812968335055e-01 9.126580898417914200e-01
9.331463327494434745e-01 7.347925606675959065e-02 1.458778515348225502e-01 3.466311089083591312e-01 5.888160244238849206e-01 7.906043367790867027e-01 9.169174812564605537e-01
9.953560882660730247e-01 7.745851144674277544e-02 1.536167044454259667e-01 3.625384542242214292e-01 6.057142608534371586e-01 7.998198176860437103e-01 9.204228822479534333e-01
1.057565843782702686e+00 8.113517741960228624e-02 1.607390330332192641e-01 3.768080076372199994e-01 6.200844091728551222e-01 8.075029284292308818e-01 9.234105184078517103e-01
1.119775599299332125e+00 8.449567931936342868e-02 1.672225383713433211e-01 3.894671487110749064e-01 6.322316388824527067e-01 8.138932407024319637e-01 9.258548764355918337e-01
1.181985354815961786e+00 8.752774352950164205e-02 1.730479514028346322e-01 4.005510393789797896e-01 6.424088666889054000e-01 8.191720943219836792e-01 9.279206217683556579e-01
1.244195110332591225e+00 9.022041933989254081e-02 1.781988948145647456e-01 4.100991949209700227e-01 6.508227292425293742e-01 8.234778065623665766e-01 9.295666680609238064e-01
1.306404865849220887e+00 9.256409399302571728e-02 1.826617259024755358e-01 4.181525702010229772e-01 6.576399302703356264e-01 8.269157449507084090e-01 9.309160963570999314e-01
1.368614621365850326e+00 9.455050183278941589e-02 1.864253692745565516e-01 4.247512014657125468e-01 6.629929504424489917e-01 8.295656519021366027e-01 9.319183613501001995e-01
1.430824376882479987e+00 9.617272850284039332e-02 1.894811477710930947e-01 4.299323868226060941e-01 6.669848193598987285e-01 8.314864379208675160e-01 9.326708455113359442e-01
1.493034132399109648e+00 9.742521113676921862e-02 1.918226192222202697e-01 4.337293530751038517e-01 6.696929407245975074e-01 8.327198092158183407e-01 9.331153332619421814e-01
1.555243887915739087e+00 9.830373544129106245e-02 1.934454256896045443e-01 4.361703402154660236e-01 6.711720602321744611e-01 8.332924399847820851e-01 9.333325311098924493e-01
1.617453643432368748e+00 9.880543050004804428e-02 1.943471607284962821e-01 4.372780327031739467e-01 6.714564882554761027e-01 8.332176290206132485e-01 9.332559670810576247e-01
1.679663398948998188e+00 9.892876202355396775e-02 1.945272590264544299e-01 4.370692735244564586e-01 6.705616849317577177e-01 8.324959113520522536e-01 9.329549943706114679e-01
1.741873154465627849e+00 9.867352464565112835e-02 1.939869115813184497e-01 4.355550085987001108e-01 6.684853027591158847e-01 8.311153989611244075e-01 9.323524724457938895e-01
1.804082909982257288e+00 9.804083372368262161e-02 1.927290084150740102e-01 4.327404222405814016e-01 6.652077692747343507e-01 8.290511911943398982e-01 9.315094570676147878e-01
1.866292665498886949e+00 9.703311694433790213e-02 1.907581097099000089e-01 4.286252371297918917e-01 6.606924838672403322e-01 8.262645507237127429e-01 9.303336479350101662e-01
1.928502421015516388e+00 9.565410587520070673e-02 1.880804452135793892e-01 4.232041634951153597e-01 6.548857005189930858e-01 8.227010439734916414e-01 9.288791281470787364e-01
1.990712176532146049e+00 9.390882743900516583e-02 1.847039407998526950e-01 4.164674914739193712e-01 6.477161736420938842e-01 8.182883025685567802e-01 9.270308303276630912e-01
2.052921932048775489e+00 9.180359512862600047e-02 1.806382701849735817e-01 4.084018276656768420e-01 6.390946581362673129e-01 8.129324260089427767e-01 9.248353061764369443e-01
2.115131687565405372e+00 8.934599963087430652e-02 1.758949289912033476e-01 3.989909816976174861e-01 6.289133780929696549e-01 8.065136599402108475e-01 9.221416817538424793e-01
2.177341443082034811e+00 8.654489839060541811e-02 1.704873276071817156e-01 3.882170111296333048e-01 6.170456114990621188e-01 7.988801187110865509e-01 9.189854427497099465e-01
2.239551198598664250e+00 8.341040352778515687e-02 1.644308986217659363e-01 3.760614331938518240e-01 6.033455802006932878e-01 7.898401878894507622e-01 9.151564394741226183e-01
2.301760954115293689e+00 7.995386742243314193e-02 1.577432140034211727e-01 3.625066096180925013e-01 5.876488829401644853e-01 7.791520876635953385e-01 9.106695132522267810e-01
2.363970709631923572e+00 7.618786520915230009e-02 1.504441066674715444e-01 3.475373060466646624e-01 5.697737596853960085e-01 7.665114149481799810e-01 9.052099891900255990e-01
2.426180465148553012e+00 7.212617337681943852e-02 1.425557906298270117e-01 3.311424203079409989e-01 5.495235199321035768e-01 7.515351098470559599e-01 8.987482416798948659e-01
2.488390220665182451e+00 6.778374365204165031e-02 1.341029736044418719e-01 3.133168640292435247e-01 5.266904953643830600e-01 7.337436128201054730e-01 8.907699795791440556e-01
