# W Re(E=0.1) Re(E=0.2) Re(E=0.5) Re(E=1.0) Re(E=2.0) Re(E=5.0) Im(E=0.1) Im(E=0.2) Im(E=0.5) Im(E=1.0) Im(E=2.0) Im(E=5.0)
1.000000000000000021e-02 9.954337639484739375e-01 9.824053601049975715e-01 9.042334583456600461e-01 7.314697911012608689e-01 4.847025688245506503e-01 2.289054114384404537e-01 9.910063928780814616e-03 9.655110083305535815e-03 8.255216193338089578e-03 5.797999240027085742e-03 3.280228815502280772e-03 1.359963052946821897e-03
1.122018454301963557e-02 9.954083592825507809e-01 9.823812210787086219e-01 9.042152645437857572e-01 7.314589279930560073e-01 4.846969397006001268e-01 2.289031606960411080e-01 1.111899232729273573e-02 1.083294926651721772e-02 9.262314083130688755e-03 6.505300665457961623e-03 3.680259720560893899e-03 1.525445104866893220e-03
1.258925411794167490e-02 9.953763785304434730e-01 9.823508335008994674e-01 9.041923612494860985e-01 7.314452540704972083e-01 4.846898566242697770e-01 2.289003352093626487e-01 1.247531587028961712e-02 1.215439832728687150e-02 1.039221780511578354e-02 7.298839399592802098e-03 4.129012568366178387e-03 1.710936119411465232e-03
1.412537544622754007e-02 9.953361200448809232e-01 9.823125804176668918e-01 9.041635298414761879e-01 7.314280426612329578e-01 4.846809451897912679e-01 2.288967905406810999e-01 1.399697147139588455e-02 1.363693634141362014e-02 1.165987949467043108e-02 8.189110620676818414e-03 4.632395916987537207e-03 1.918806553439334405e-03
1.584893192461113431e-02 9.952854422035843918e-01 9.822644268063163153e-01 9.041272366253472192e-01 7.314063795891645459e-01 4.846697352260656566e-01 2.288923471411941635e-01 1.570406488485121682e-02 1.530015497032593749e-02 1.308206235732812736e-02 9.187878882204446665e-03 5.197024628454741980e-03 2.151689813216935230e-03
1.778279410038922925e-02 9.952216498536574640e-01 9.822038115880171727e-01 9.040815515207195618e-01 7.313791150010731101e-01 4.846556366614165889e-01 2.288867823759841991e-01 1.761912718910384201e-02 1.716601210711651490e-02 1.467755615218337660e-02 1.030832841243591383e-02 5.830300104389646298e-03 2.412505422942921689e-03
1.995262314968879874e-02 9.951413515668301457e-01 9.821275119863949188e-01 9.040240458501405119e-01 7.313448029358781133e-01 4.846379095047799734e-01 2.288798209785006810e-01 1.976739921019717711e-02 1.925910771409220304e-02 1.646741670950114741e-02 1.156522989504160312e-02 6.540498241441548670e-03 2.704482316776435618e-03
2.238721138568339902e-02 9.950402802721912687e-01 9.820314730162432726e-01 9.039516639089286709e-01 7.313016255851640945e-01 4.846156266169037163e-01 2.288711237092721784e-01 2.217714591615543504e-02 2.160699162742524965e-02 1.847523149139087065e-02 1.297512500118214347e-02 7.336864992838069803e-03 3.031181946925291196e-03
2.511886431509579437e-02 9.949130679808968480e-01 9.819105933172916911e-01 9.038605619114166156e-01 7.312472984714605273e-01 4.845876276420937878e-01 2.288602740010820258e-01 2.488000249798935637e-02 2.424050219143055601e-02 2.072741308005873750e-02 1.455652981185519626e-02 8.229719449846543619e-03 3.396520165283835324e-03
2.818382931264453578e-02 9.947529630277819335e-01 9.817584563011826360e-01 9.037459047180717020e-01 7.311789519031540729e-01 4.845524623381696205e-01 2.288467623542513596e-01 2.791135327023942445e-02 2.719413746581890792e-02 2.325352214708501994e-02 1.633015829558146642e-02 9.230564011071310665e-03 3.804787890815687721e-03
3.162277660168379134e-02 9.945514754388941059e-01 9.815669928979287029e-01 9.036016130439336047e-01 7.310929829888069831e-01 4.845083210452859612e-01 2.288299682838015325e-01 3.131074355043758639e-02 3.050645940495683162e-02 2.608662101544791459e-02 1.831916486247401471e-02 1.035220075941912891e-02 4.260668978188745723e-03
3.548133892335755130e-02 9.942979325938783308e-01 9.813260588961368880e-01 9.034200446727361777e-01 7.309848713451220226e-01 4.844529499130363348e-01 2.288091396195449934e-01 3.512232313808343054e-02 3.422053000720933630e-02 2.926365787868605642e-02 2.054940904157093184e-02 1.160885238457114513e-02 4.769255495621904650e-03
3.981071705534973415e-02 9.939789233571143523e-01 9.810229058761901211e-01 9.031915965037696781e-01 7.308489500692346708e-01 4.843835480663887805e-01 2.287833688750712247e-01 3.939531408289047298e-02 3.838437628214383390e-02 3.282588048413086906e-02 2.304973723127609272e-02 1.301628559662851639e-02 5.336059527584257299e-03
4.466835921509629964e-02 9.935776027721539005e-01 9.806415199407471084e-01 9.029042070975069612e-01 7.306781220487684747e-01 4.842966439120018340e-01 2.287515665137216936e-01 4.418451555731871261e-02 4.305147766854829083e-02 3.681927589151404862e-02 2.585228144254138674e-02 1.459193451578703199e-02 5.967021403047634634e-03
5.011872336272724798e-02 9.930728265909163355e-01 9.801617967784715946e-01 9.025427362435574086e-01 7.304635096774151348e-01 4.841879470253492301e-01 2.287124307177987592e-01 4.955078647577732670e-02 4.828126482259197105e-02 4.129502983293954071e-02 2.899277091804471074e-02 1.635501886906414598e-02 6.668514164821915183e-03
5.623413251903491145e-02 9.924380734222584266e-01 9.795585150361001414e-01 9.020881929488011597e-01 7.301940243645644868e-01 4.840521727502231641e-01 2.286644134008621876e-01 5.556154534784023269e-02 5.413961188977225308e-02 4.630999471325013273e-02 3.251084772615086410e-02 1.832665483144761340e-02 7.447343584861833808e-03
6.309573444801933051e-02 9.916401092291631247e-01 9.788000626108142033e-01 9.015167773751950886e-01 7.298558399345126402e-01 4.838828355892635380e-01 2.286056821146478790e-01 6.229121516735969255e-02 6.069929467664395700e-02 5.192715045750327663e-02 3.645037678326679825e-02 2.052994971256272630e-02 8.310744320028795248e-03
7.079457843841380216e-02 9.906373384827673600e-01 9.778468625962648542e-01 9.007986972504780088e-01 7.294317520858901727e-01 4.836720083803822123e-01 2.285340776291829301e-01 6.982158451026078405e-02 6.804037348626701398e-02 5.821602407634136195e-02 4.085973917266735173e-02 2.299007727672682314e-02 9.266371875290568133e-03
7.943282347242813790e-02 9.893777795066980296e-01 9.766494378434846801e-01 8.998967094564052083e-01 7.289004037000160752e-01 4.834100437372499393e-01 2.284470667805537369e-01 7.824201710290788758e-02 7.625044039385178718e-02 6.525304736658456284e-02 4.579208428809842385e-02 2.573432521792986399e-02 1.032229197419950485e-02
8.912509381337459236e-02 9.877965955567296064e-01 9.751460466032679797e-01 8.987643360432814310e-01 7.282353564770946974e-01 4.830852543913115582e-01 2.283416897969015591e-01 8.764941679030069377e-02 8.542464467297361530e-02 7.312177625501055378e-02 5.130552050367461620e-02 2.879210800924391842e-02 1.148696961304625924e-02
1.000000000000000056e-01 9.858131113162200698e-01 9.732598185391877488e-01 8.973436941535068989e-01 7.274039848427504840e-01 4.826835493342676586e-01 2.282145008348315796e-01 9.814781729015004119e-02 9.566537483202031122e-02 8.191290950325107179e-02 5.746320373257082781e-02 3.219493886708935798e-02 1.276925873720376886e-02
1.122018454301963591e-01 9.833272504466632480e-01 9.708953239124596957e-01 8.955628797681888242e-01 7.263661693952626619e-01 4.821880222278075445e-01 2.280615005108356241e-01 1.098474165502433542e-01 1.070814289139274816e-01 9.172399434568244414e-02 6.433329710272908675e-02 3.597635265689071160e-02 1.417839112255125412e-02
1.258925411794167559e-01 9.802153495903774827e-01 9.679345242903135693e-01 8.933328408864783521e-01 7.250727713756982551e-01 4.815784884805951460e-01 2.278780597217923976e-01 1.228628117651186930e-01 1.197864440088238502e-01 1.026586781860044512e-01 7.198873560966932705e-02 4.017177396712028059e-02 1.572396219708556420e-02
1.412537544622754770e-01 9.763253467884671633e-01 9.642320916864741687e-01 8.905436991409669822e-01 7.234638618531716858e-01 4.808309666384173453e-01 2.276588344369345485e-01 1.373101119964524885e-01 1.338962783918121735e-01 1.148253060665432035e-01 8.050674831973513024e-02 4.481832455257567932e-02 1.741591344029893434e-02
1.584893192461114264e-01 9.714714206444154954e-01 9.596101326918088370e-01 8.870604786880325054e-01 7.214666908474696161e-01 4.799170992250931800e-01 2.273976701226152197e-01 1.533025122851091604e-01 1.495249566158953769e-01 1.283346136916793945e-01 8.996805918472498831e-02 4.995456097898619274e-02 1.926451608638186236e-02
1.778279410038922925e-01 9.654282884454058467e-01 9.538525224372240707e-01 8.827182693598552010e-01 7.189933791820142250e-01 4.788035065469423701e-01 2.270874930171146444e-01 1.709438128040307869e-01 1.667786625599073091e-01 1.432961868968445629e-01 1.004556828483525732e-01 5.562013782247258314e-02 2.128035704090461624e-02
1.995262314968879735e-01 9.579255791371261708e-01 9.466991601560820202e-01 8.773168935533109947e-01 7.159383189079407961e-01 4.774510661163371972e-01 2.267201855672950073e-01 1.903192752270268795e-01 1.857472022778231258e-01 1.598132401108195710e-01 1.120532163141289561e-01 6.185538555270050920e-02 2.347432254287716916e-02
2.238721138568340041e-01 9.486430050377472334e-01 9.378408184554554161e-01 8.706153063486289367e-01 7.121752743072087277e-01 4.758141079995775180e-01 2.262864453335839687e-01 2.114831582355460038e-01 2.064922543374997921e-01 1.779751821240949938e-01 1.248424909733117927e-01 6.870078987340649812e-02 2.585757056470627466e-02
2.511886431509580686e-01 9.372074843478823691e-01 9.269156197895713767e-01 8.623261207480700241e-01 7.075541784191978767e-01 4.738395154165741530e-01 2.257756250602135639e-01 2.344423211020338904e-01 2.290317541647126920e-01 1.978473146520607073e-01 1.389004368690354152e-01 7.619635737677081522e-02 2.844149292698740575e-02
2.818382931264454827e-01 9.231939154190572649e-01 9.135087235712422427e-01 8.521110039924643109e-01 7.018976276410798798e-01 4.714657177323086645e-01 2.251755627681155669e-01 2.591355166679404909e-01 2.533199235598399546e-01 2.194568467396013911e-01 1.542949436553835707e-01 8.438084063405557056e-02 3.123765922428947683e-02
3.162277660168379412e-01 9.061319282810866849e-01 8.971574460256399597e-01 8.395781702266214008e-01 6.949970908438889428e-01 4.686215609285955264e-01 2.244723635492754665e-01 2.854085353650935852e-01 2.792229096963328439e-01 2.427744194293840752e-01 1.710794353641279242e-01 9.329079033012002697e-02 3.425778635188619220e-02
3.548133892335754713e-01 8.855215086389929269e-01 8.773646760208175799e-01 8.242839328625939377e-01 6.866088732218461610e-01 4.652250390613265063e-01 2.236501714707475608e-01 3.129863535758730664e-01 3.064908839425674603e-01 2.676904385887829974e-01 1.892857532360384953e-01 1.029593894306155832e-01 3.751360896081027546e-02
