# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.999000098914522048e-04 -1.999800019152809909e-03 -4.999500037296823220e-03 -9.998999993446784640e-03 -1.999799934662080392e-02 -4.999498713162431329e-02
6.220975551662956404e-02 -9.973441658604946611e-04 -1.994688328864585407e-03 -4.986720772513005863e-03 -9.973441184948807561e-03 -1.994687949719493522e-02 -4.986714835225659198e-02
1.244195110332591281e-01 -9.909297910067978079e-04 -1.981859576962416089e-03 -4.954648854314274570e-03 -9.909297073394482402e-03 -1.981858907296732072e-02 -4.954638368628393880e-02
1.866292665498887060e-01 -9.806817013035655246e-04 -1.961363395418582248e-03 -4.903408363185823154e-03 -9.806815822643057817e-03 -1.961362442658369509e-02 -4.903393445334903317e-02
2.488390220665182562e-01 -9.666395446216867644e-04 -1.933279079999517197e-03 -4.833197539065749518e-03 -9.666393915287190344e-03 -1.933277854665995527e-02 -4.833178353675471328e-02
3.110487775831478063e-01 -9.488576473397638232e-04 -1.897715283484934217e-03 -4.744288014380938431e-03 -9.488574618647865194e-03 -1.897713798917017095e-02 -4.744264770105387219e-02
3.732585330997774120e-01 -9.274048041658609085e-04 -1.854809595310742991e-03 -4.637023763139327438e-03 -9.274045882902291066e-03 -1.854807867314194753e-02 -4.636996707168613424e-02
4.354682886164069622e-01 -9.023640119840000643e-04 -1.804728009261569177e-03 -4.511819770151199137e-03 -9.023637679475480372e-03 -1.804726055698578982e-02 -4.511789181777724894e-02
4.976780441330365123e-01 -8.738321487552652179e-04 -1.747664281272558748e-03 -4.369160425523674861e-03 -8.738318789989442045e-03 -1.747662121604927343e-02 -4.369126608982921295e-02
5.598877996496660625e-01 -8.419195987158072927e-04 -1.683839179825586188e-03 -4.209597650643092173e-03 -8.419193058202691093e-03 -1.683836834625274462e-02 -4.209560927466694108e-02
6.220975551662956127e-01 -8.067498253219320499e-04 -1.613499631837817753e-03 -4.033748762893973883e-03 -8.067495119443114301e-03 -1.613497122283798560e-02 -4.033709464033562175e-02
6.843073106829251628e-01 -7.684588935934402038e-04 -1.536917767350279296e-03 -3.842294087375957602e-03 -7.684585624042387930e-03 -1.536915114725864728e-02 -3.842252545360480553e-02
7.465170661995548240e-01 -7.271949437051447541e-04 -1.454389866709371098e-03 -3.635974324861596108e-03 -7.271945973271395913e-03 -1.454387091917779332e-02 -3.635930866240678211e-02
8.087268217161843742e-01 -6.831176178610685271e-04 -1.366235214316417410e-03 -3.415587686171952901e-03 -6.831172588124823954e-03 -1.366232337430538929e-02 -3.415542624500389479e-02
8.709365772328139244e-01 -6.363974426697526594e-04 -1.272794863378460140e-03 -3.181986804064770857e-03 -6.363970733137027692e-03 -1.272791903238736609e-02 -3.181940433646837652e-02
9.331463327494434745e-01 -5.872151694103263514e-04 -1.174430316440355218e-03 -2.936075434570977957e-03 -5.872147919117436110e-03 -1.174427290314528603e-02 -2.936028025170377143e-02
9.953560882660730247e-01 -5.357610747409272556e-04 -1.071522126802721634e-03 -2.678804960555259372e-03 -5.357606910323442495e-03 -1.071519050116556508e-02 -2.678756753226113271e-02
1.057565843782702686e+00 -4.822342245550207416e-04 -9.644684262353835861e-04 -2.411170711014599868e-03 -4.822338363130462130e-03 -9.644653123844285081e-03 -2.411121915183344483e-02
1.119775599299332125e+00 -4.268417038349668320e-04 -8.536833846840887743e-04 -2.134208110359476617e-03 -4.268413124666205725e-03 -8.536802449296674103e-03 -2.134158902234369395e-02
1.181985354815961786e+00 -3.697978154796724469e-04 -7.395956079283788707e-04 -1.848988672578635124e-03 -3.697974221204912600e-03 -7.395924513815212500e-03 -1.848939194916078207e-02
1.244195110332591225e+00 -3.113232512090427311e-04 -6.226464793895660496e-04 -1.556615855776277008e-03 -3.113228567316000169e-03 -6.226433130811090226e-03 -1.556566218993167376e-02
1.306404865849220887e+00 -2.516442377503030924e-04 -5.032884525053457582e-04 -1.258220793124698511e-03 -2.516438427833651501e-03 -5.032852815386130996e-03 -1.258171077688281618e-02
1.368614621365850326e+00 -1.909916616109980851e-04 -3.819833002752958577e-04 -9.549579167469351851e-04 -1.909912665680779751e-03 -3.819801280552159901e-03 -9.549081767398642090e-03
1.430824376882479987e+00 -1.296001758239382327e-04 -2.592003287525595839e-04 -6.480004914592643736e-04 -1.295997809403010015e-03 -2.591971572790858786e-03 -6.479507591671502392e-03
1.493034132399109648e+00 -6.770729212002948090e-05 -1.354145613896272100e-04 -3.385360756482156774e-04 -6.770689749670253700e-04 -1.354113916074295302e-03 -3.384863669879636678e-03
1.555243887915739087e+00 -5.552462041933008104e-06 -1.110490126530853599e-05 -2.776192684954316030e-05 -5.552067694804209332e-05 -1.110173345337182296e-04 -2.771224742597691321e-04
1.617453643432368748e+00 5.662384944762534767e-05 1.132477216970713077e-04 2.831196302035195482e-04 5.662424353550439028e-04 1.132508875108755812e-03 2.831692786498697136e-03
1.679663398948998188e+00 1.185810942782112502e-04 2.371622113554839402e-04 5.929058551360067266e-04 1.185814881027159959e-03 2.371653749695041766e-03 5.929554681382479160e-03
1.741873154465627849e+00 1.800795719050717839e-04 3.601591666154640254e-04 9.003982451028787019e-04 1.800799653883284604e-03 3.601623272368691814e-03 9.004478089817791880e-03
1.804082909982257288e+00 2.408813566644556464e-04 4.817627361408953111e-04 1.204407171566090331e-03 2.408817496044148628e-03 4.817658919910809689e-03 1.204456657308583013e-02
1.866292665498886949e+00 3.007512182614200942e-04 6.015024593300487840e-04 1.503756482745980750e-03 3.007516102866962353e-03 6.015056072889468294e-03 1.503805840473912067e-02
1.928502421015516388e+00 3.594575318303265608e-04 7.189150864374339086e-04 1.797288053934673535e-03 3.594579223615725853e-03 7.189182217392261001e-03 1.797337208187968147e-02
1.990712176532146049e+00 4.167731740465885045e-04 8.335463707973563658e-04 2.083866268068752716e-03 4.167735622658394132e-03 8.335494867920461778e-03 2.083915114088013415e-02
2.052921932048775489e+00 4.724764018224977412e-04 9.449528262166777444e-04 2.362382409228900877e-03 4.724767866522964870e-03 9.449559142050244567e-03 2.362430810390589095e-02
2.115131687565405372e+00 5.263517101886433427e-04 1.052703442737724406e-03 2.631758952062651039e-03 5.263520902812140849e-03 1.052706491888169213e-02 2.631806738582482749e-02
2.177341443082034811e+00 5.781906660402851179e-04 1.156381354133054640e-03 2.890953730542048222e-03 5.781910397780819048e-03 1.156384351484889168e-02 2.891000699511608527e-02
2.239551198598664250e+00 6.277927145251213170e-04 1.255585450680159892e-03 3.138963969917374537e-03 6.277930800322730105e-03 1.255588381234404999e-02 3.139009886701316782e-02
2.301760954115293689e+00 6.749659549509007175e-04 1.349931930978669550e-03 3.374830166277772471e-03 6.749663101157311190e-03 1.349934777873780002e-02 3.374874767244050167e-02
2.363970709631923572e+00 7.195278832119873487e-04 1.439055786803641185e-03 3.597639798702451097e-03 7.195282257195120129e-03 1.439058531572881723e-02 3.597682795210845053e-02
2.426180465148553012e+00 7.613060978627621701e-04 1.522612215252593538e-03 3.806530859640043420e-03 7.613064252365584275e-03 1.522614838154174449e-02 3.806571943177416290e-02
2.488390220665182451e+00 8.001389671047429023e-04 1.600277952721292259e-03 4.000695189861737736e-03 8.001392767570386991e-03 1.600280433131845079e-02 4.000734038162080675e-02
2.550599976181812334e+00 8.358762541092865008e-04 1.671752525548552033e-03 4.179381605081872869e-03 8.358765433968040962e-03 1.671754842406635022e-02 4.179417889037040368e-02
2.612809731698441773e+00 8.683796982546523012e-04 1.736759412490566706e-03 4.341898802148552727e-03 8.683799645392236907e-03 1.736761544776584468e-02 4.341932193291597741e-02
2.675019487215071212e+00 8.975235500291466918e-04 1.795047114528566020e-03 4.487618033566469558e-03 8.975237907407451754e-03 1.795049041764852638e-02 4.487648211876838628e-02
2.737229242731700651e+00 9.231950575320866520e-04 1.846390127869375732e-03 4.615975539996146348e-03 9.231952702321532395e-03 1.846391830623876282e-02 4.616002201774094260e-02
2.799438998248330535e+00 9.452949026887958427e-04 1.890589816375508672e-03 4.726474731328233689e-03 9.452950851318571088e-03 1.890591276753307917e-02 4.726497596874158075e-02
2.861648753764959974e+00 9.637375854929104398e-04 1.927475180050164339e-03 4.818688107887027228e-03 9.637377356844157444e-03 1.927476382155234730e-02 4.818706928730609462e-02
2.923858509281589413e+00 9.784517547893182600e-04 1.956903516602083448e-03 4.892258914335325358e-03 9.784518710380548517e-03 1.956904446954535123e-02 4.892273479769925631e-02
2.986068264798219296e+00 9.893804843177022527e-04 1.978760973532614747e-03 4.946902519881271262e-03 9.893805652804857353e-03 1.978761621427652453e-02 4.946912662584779241e-02
3.048278020314848735e+00 9.964814929493601668e-04 1.992962988608256488e-03 4.982407519446476613e-03 9.964815376670165675e-03 1.992963346404052344e-02 4.982413119996831341e-02
3.110487775831478174e+00 9.997273082642344020e-04 1.999454617015017973e-03 4.998636551538876080e-03 9.997273161878560133e-03 1.999454680340712748e-02 4.998637541670443440e-02
3.172697531348107614e+00 9.991053728367104217e-04 1.998210743927867489e-03 4.995526829660861846e-03 9.991053438423888947e-03 1.998210511804268674e-02 4.995523194156258062e-02
3.234907286864737497e+00 9.946180928172329138e-04 1.989236181675001561e-03 4.973090385204662761e-03 9.946180272098432973e-03 1.989235656543524022e-02 4.973082162349663077e-02
3.297117042381366936e+00 9.862828286234953407e-04 1.972565651118340143e-03 4.931414020889505687e-03 9.862827271289736561e-03 1.972564838778063934e-02 4.931401301479176880e-02
3.359326797897996375e+00 9.741318277763405704e-04 1.948263647324650688e-03 4.870658974921929577e-03 9.741316915224177558e-03 1.948262556779161922e-02 4.870641899854977197e-02
3.421536553414625814e+00 9.582121001399760167e-04 1.916424190046385869e-03 4.791060297184527618e-03 9.582119306265901582e-03 1.916422833265174486e-02 4.791039053720334839e-02
3.483746308931255697e+00 9.385852360501535175e-04 1.877170459975844577e-03 4.692925939857691374e-03 9.385850351097270450e-03 1.877168851579135919e-02 4.692900756668637319e-02
3.545956064447885137e+00 9.153271680327814417e-04 1.830654322183376901e-03 4.576635566001649100e-03 9.153269377828211761e-03 1.830652479059656501e-02 4.576606707184448924e-02
3.608165819964514576e+00 8.885278770357949666e-04 1.777055738579497949e-03 4.442639080703802111e-03 8.885276198241325377e-03 1.777053679450371279e-02 4.442606838953189891e-02
3.670375575481144459e+00 8.582910443102758930e-04 1.716582071677829387e-03 4.291454890473585596e-03 8.582907626555353470e-03 1.716579816622455443e-02 4.291419579649068117e-02
3.732585330997773898e+00 8.247336502879858058e-04 1.649467282348772131e-03 4.123667897623682112e-03 8.247333468169963655e-03 1.649464852306111590e-02 4.123629844956154533e-02
3.794795086514403337e+00 7.879855220065926265e-04 1.575971024670722725e-03 3.939927237395315397e-03 7.879851993909841798e-03 1.575968440933839254e-02 3.939886775593138407e-02
3.857004842031032776e+00 7.481888308341893157e-04 1.496377641379111403e-03 3.740943766577832508e-03 7.481884917279551205e-03 1.496374925099999004e-02 3.740901226096223636e-02
3.919214597547662660e+00 7.054975424360482522e-04 1.410995063799456994e-03 3.527487313347236770e-03 7.054971894165372112e-03 1.410992235519863830e-02 3.527443015073038896e-02
3.981424353064292099e+00 6.600768211114528116e-04 1.320153620521688628e-03 3.300383698955075291e-03 6.600764566251831299e-03 1.320150699744842074e-02 3.300337947544339234e-02
4.043634108580921982e+00 6.121023908049803928e-04 1.224204759423078246e-03 3.060511542798482511e-03 6.121020171208336157e-03 1.224201764241636056e-02 3.060464620879623995e-02
4.105843864097550977e+00 5.617598552649710406e-04 1.123519687986273543e-03 2.808798863222399314e-03 5.617594744353231022e-03 1.123516634775538654e-02 2.808751026649422555e-02
4.168053619614180860e+00 5.092439799788502823e-04 1.018487937168981302e-03 2.546219487213020535e-03 5.092435938106367084e-03 1.018484840357993318e-02 2.546170961509139699e-02
4.230263375130810743e+00 4.547579386632032324e-04 9.095158543867266866e-04 2.273789282864841811e-03 4.547575486991531184e-03 9.095127263113232316e-03 2.273740260962058696e-02
4.292473130647439739e+00 3.985125272242989497e-04 7.970250314331401957e-04 1.992562229204244799e-03 3.985121347353852601e-03 7.970218822763211128e-03 1.992512870528553512e-02
4.354682886164069622e+00 3.407253482298880148e-04 6.814506734252059016e-04 1.703626338565685221e-03 3.407249542182842674e-03 6.814475112434653994e-03 1.703576769483129000e-02
4.416892641680698617e+00 2.816199690468723020e-04 5.632399150790075694e-04 1.408099447302155281e-03 2.816195742603140074e-03 5.632367459158793555e-03 1.408049762879572814e-02
4.479102397197328500e+00 2.214250569031507858e-04 4.428500908342049075e-04 1.107124891112040840e-03 2.214246618585896491e-03 4.428469189106803115e-03 1.107075158110775934e-02
4.541312152713958383e+00 1.603734942180772200e-04 3.207469655156479100e-04 8.018670817092677684e-04 1.603730992349248173e-03 3.207437934935108981e-03 8.018173426826534153e-03
4.603521908230587378e+00 9.870147762624953435e-05 1.974029323808712999e-04 4.935070019559750039e-04 9.870108286667057546e-04 1.973997616861142366e-03 4.934572802822541002e-03
4.665731663747217262e+00 3.664760417786175589e-05 7.329518552315568479e-05 1.832376368801636455e-04 3.664720969399533086e-04 7.329201671683870664e-04 1.831879425335757733e-03
4.727941419263847145e+00 -2.554805174612240844e-05 -5.109612630039395115e-05 -1.277406417424881363e-04 -2.554844596147935396e-04 -5.109929311775205513e-04 -1.277903059112103388e-03
4.790151174780476140e+00 -8.764486723547764769e-05 -1.752897572698375436e-04 -4.382247193908346333e-04 -8.764526119555903719e-04 -1.752929220363385384e-03 -4.382743511005328906e-03
4.852360930297106023e+00 -1.494026017740792203e-04 -2.988052263497624700e-04 -7.470133934114216428e-04 -1.494029954443381117e-03 -2.988083886192656035e-03 -7.470629843826724972e-03
4.914570685813735906e+00 -2.105823266836759984e-04 -4.211646761766474649e-04 -1.052912020241687048e-03 -2.105827199301594978e-03 -4.211678347107262153e-03 -1.052961549862383925e-02
4.976780441330364901e+00 -2.709473494925697108e-04 -5.418947217968702245e-04 -1.354737137260288160e-03 -2.709477420337884357e-03 -5.418978741879154105e-03 -1.354786566729199344e-02
5.038990196846994785e+00 -3.302641296526166942e-04 -6.605282821014964211e-04 -1.651321041382248622e-03 -3.302645210176495452e-03 -6.605314244406136973e-03 -1.651370308562169834e-02
5.101199952363624668e+00 -3.883031820629717396e-04 -7.766063868726804818e-04 -1.941516306689997735e-03 -3.883035715563240130e-03 -7.766095134773776110e-03 -1.941565321867017371e-02
5.163409707880253663e+00 -4.448399649023896925e-04 -8.896799524512965336e-04 -2.224200223615708811e-03 -4.448403515783671061e-03 -8.896830556625084235e-03 -2.224248866341721476e-02
5.225619463396883546e+00 -4.996557483388946487e-04 -9.993115191548045551e-04 -2.498279142503588741e-03 -4.996561309854805934e-03 -9.993145892122324084e-03 -2.498327259654509885e-02
5.287829218913512541e+00 -5.525384607525492741e-04 -1.105076943724890093e-03 -2.762692704746643173e-03 -5.525388378864791970e-03 -1.105079968726561945e-02 -2.762740109886445417e-02
5.350038974430142424e+00 -6.032835091996235780e-04 -1.206567040255873691e-03 -3.016417945127352652e-03 -6.032838790720298702e-03 -1.206570006205335936e-02 -3.016464419225032417e-02
5.412248729946772308e+00 -6.516945709431305267e-04 -1.303389163256867076e-03 -3.258473249489244813e-03 -6.516949315566431672e-03 -1.303392054196529128e-02 -3.258518542988970285e-02
5.474458485463401303e+00 -6.975843529870315394e-04 -1.395168726721108437e-03 -3.487922152429233803e-03 -6.975847021237640416e-03 -1.395171524949947311e-02 -3.487965988621510166e-02
5.536668240980031186e+00 -7.407753166772098946e-04 -1.481550653327711039e-03 -3.703876960316755413e-03 -7.407756519356267777e-03 -1.481553339695829315e-02 -3.703919039916494377e-02
5.598877996496661069e+00 -7.811003645635495544e-04 -1.562200748167213646e-03 -3.905502185620226586e-03 -7.811006834048641462e-03 -1.562203302439475056e-02 -3.905542192419455411e-02
5.661087752013290064e+00 -8.184034868677988886e-04 -1.636806991677365423e-03 -4.092017779257637461e-03 -8.184037866692320251e-03 -1.636809392953259695e-02 -4.092055386664129879e-02
5.723297507529919947e+00 -8.525403650553402789e-04 -1.705080746786878307e-03 -4.262702148462704094e-03 -8.525406431683169375e-03 -1.705082973964322512e-02 -4.262737026727413114e-02
5.785507263046549831e+00 -8.833789301752793420e-04 -1.766757875596317549e-03 -4.416894948491137396e-03 -8.833791839878589111e-03 -1.766759907863511142e-02 -4.416926772383969468e-02
5.847717018563178826e+00 -9.107998738099861791e-04 -1.821599761276293224e-03 -4.553999637367438756e-03 -9.108001008099648674e-03 -1.821601578615844944e-02 -4.554028094050364961e-02
5.909926774079808709e+00 -9.346971096558514148e-04 -1.869394231230035036e-03 -4.673485783789586845e-03 -9.346973074937139567e-03 -1.869395814918607679e-02 -4.673510580624731098e-02
5.972136529596438592e+00 -9.549781839508391431e-04 -1.909956377947458900e-03 -4.774891119258081566e-03 -9.549783504996545505e-03 -1.909957711034102057e-02 -4.774911991294671088e-02
6.034346285113067587e+00 -9.715646331600676262e-04 -1.943129274376039720e-03 -4.857823326496927413e-03 -9.715647665707304384e-03 -1.943130342123993229e-02 -4.857840043382479628e-02
6.096556040629697470e+00 -9.843922875356998434e-04 -1.968784581040845978e-03 -4.921961557242770027e-03 -9.843923862860435095e-03 -1.968785371317172128e-02 -4.921973929325229591e-02
6.158765796146326466e+00 -9.934115193775063142e-04 -1.986823042564484897e-03 -4.967057673533690175e-03 -9.934115823124227071e-03 -1.986823546164524779e-02 -4.967065556951943961e-02
6.220975551662956349e+00 -9.985874350324317351e-04 -1.997174871665764306e-03 -4.992937207693028817e-03 -9.985874613953745968e-03 -1.997175082562683765e-02 -4.992940508279185285e-02
