# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
0.000000000000000000e+00 -9.892475869938186991e-03 -1.973466180851489102e-02 -4.852782621355289372e-02 -9.256981230088774659e-02 -1.643869843044778456e-01 -2.976868900584043187e-01
6.220975551662956404e-02 -3.721764159833340375e-03 -7.415978732337086959e-03 -1.809662657706057748e-02 -3.373138275659953028e-02 -5.605609027423900936e-02 -7.837166761884718780e-02
1.244195110332591281e-01 2.465055777179318581e-03 4.944907175286145096e-03 1.260034388050477842e-02 2.652247389711275341e-02 5.916285172811519555e-02 1.810469314171935518e-01
1.866292665498887060e-01 8.643276185120627245e-03 1.729406593408741588e-02 4.335533739200773951e-02 8.736289464409312255e-02 1.774957644922962874e-01 4.494887324524522998e-01
2.488390220665182562e-01 1.478818873909407486e-02 2.957731556833390757e-02 7.395326861415266184e-02 1.478584301218459629e-01 2.938186731816225250e-01 6.636435473739722424e-01
3.110487775831478063e-01 2.087520847106657043e-02 4.174066479682289610e-02 1.041767316669594406e-01 2.070188788402808622e-01 4.020064929387348052e-01 7.677939635164550136e-01
3.732585330997774120e-01 2.687999750201447088e-02 5.373076028537668997e-02 1.338114873543105321e-01 2.638565647746740628e-01 4.960329845767025292e-01 8.115240659889180197e-01
4.354682886164069622e-01 3.277858706609309419e-02 6.549532713521077909e-02 1.626521251421272907e-01 3.174615135769089935e-01 5.719443383471702891e-01 8.392927209948912726e-01
4.976780441330365123e-01 3.854749634002629238e-02 7.698359124563494693e-02 1.905075461868521725e-01 3.670811101791468523e-01 6.296470331643649887e-01 8.586712931598311505e-01
5.598877996496660625e-01 4.416384666401814568e-02 8.814667268852402482e-02 2.172058858122278557e-01 4.121887671900993366e-01 6.724987553577448374e-01 8.735420929369677179e-01
6.220975551662956127e-01 4.960546985685447552e-02 9.893794026084991311e-02 2.425985084128616520e-01 4.525235866146364860e-01 7.048088279531897760e-01 8.849087244753690573e-01
6.843073106829251628e-01 5.485100948330946802e-02 1.093133188976959103e-01 2.665627712546859152e-01 4.880879576288273958e-01 7.299137457830804365e-01 8.941292030624867770e-01
7.465170661995548240e-01 5.988001412044944433e-02 1.192315435533055634e-01 2.890033632338203651e-01 5.191029152827646431e-01 7.499300142592474350e-01 9.014893944537962778e-01
8.087268217161843742e-01 6.467302188338933111e-02 1.286543553805682139e-01 3.098521667220862086e-01 5.459360062592630847e-01 7.661796408615900722e-01 9.076383838440600371e-01
8.709365772328139244e-01 6.921163570206355364e-02 1.375466384266723352e-01 3.290667423904065081e-01 5.690243549482782992e-01 7.795355556504549588e-01 9.126582320082750055e-01
9.331463327494434745e-01 7.347858907919485594e-02 1.458764974686656002e-01 3.466276714703940831e-01 5.888121736611819923e-01 7.906036704940594406e-01 9.169172772406755101e-01
9.953560882660730247e-01 7.745780229649580628e-02 1.536152798938998920e-01 3.625350834767556707e-01 6.057111489907697210e-01 7.998193191331967045e-01 9.204230022095742925e-01
1.057565843782702686e+00 8.113442926216055118e-02 1.607375465574745199e-01 3.768047360442332572e-01 6.200818745433345214e-01 8.075025429698985402e-01 9.234103621985477739e-01
1.119775599299332125e+00 8.449489539948287775e-02 1.672209982181963595e-01 3.894639968172980415e-01 6.322295457509319316e-01 8.138929329990896022e-01 9.258549809972295153e-01
1.181985354815961786e+00 8.752692715674469104e-02 1.730463653961846482e-01 4.005480172496004854e-01 6.424071080519130339e-01 8.191718415617926796e-01 9.279204924901611751e-01
1.244195110332591225e+00 9.021957386665227507e-02 1.781972702758368166e-01 4.100963039874108151e-01 6.508212229267017479e-01 8.234775926706993099e-01 9.295667627107565556e-01
1.306404865849220887e+00 9.256322279539787312e-02 1.826600696003962132e-01 4.181498052067255666e-01 6.576386134316426491e-01 8.269155592250755360e-01 9.309159822352464086e-01
1.368614621365850326e+00 9.454960829451942994e-02 1.864236874031894309e-01 4.247485522873052366e-01 6.629917745739043466e-01 8.295654858492593764e-01 9.319184503222532889e-01
1.430824376882479987e+00 9.617181600245980344e-02 1.894794459539427822e-01 4.299298400326623804e-01 6.669837463195764649e-01 8.314862855777707118e-01 9.326707389424138128e-01
1.493034132399109648e+00 9.742428303787641075e-02 1.918209025394194689e-01 4.337268931923510262e-01 6.696919397109141192e-01 8.327196652771258201e-01 9.331154201725686548e-01
1.555243887915739087e+00 9.830279508586596549e-02 1.934436987247076523e-01 4.361679506465570011e-01 6.711711055036435614e-01 8.332923005837822306e-01 9.333324262226245782e-01
1.617453643432368748e+00 9.880448120451654215e-02 1.943454276311752660e-01 4.372756964154828063e-01 6.714555573986014103e-01 8.332174899830991910e-01 9.332560552822424249e-01
1.679663398948998188e+00 9.892780707731851919e-02 1.945255235874045752e-01 4.370669735056436078e-01 6.705607575114281849e-01 8.324957692158200251e-01 9.329548857729041966e-01
1.741873154465627849e+00 9.867256731164042449e-02 1.939851773158218773e-01 4.355527281618876700e-01 6.684843592188240979e-01 8.311152493714120126e-01 9.323525655432430836e-01
1.804082909982257288e+00 9.803987724049087471e-02 1.927272786519508563e-01 4.327381452294930542e-01 6.652067899869110734e-01 8.290510300556422907e-01 9.315093386969984790e-01
1.866292665498886949e+00 9.703216452944211923e-02 1.907563876828593519e-01 4.286229480704679684e-01 6.606914482645064313e-01 8.262643723192070189e-01 9.303337502528995495e-01
1.928502421015516388e+00 9.565316072873469855e-02 1.880787341522954237e-01 4.232018477325172334e-01 6.548845862627695746e-01 8.227008420521291221e-01 9.288789918516084931e-01
1.990712176532146049e+00 9.390789274757557759e-02 1.847022440183505310e-01 4.164651353242517784e-01 6.477149558062663681e-01 8.182880679974957605e-01 9.270309477028543244e-01
2.052921932048775489e+00 9.180267406864350832e-02 1.806365911651127421e-01 4.083994186089597300e-01 6.390933084035057554e-01 8.129321477264317419e-01 9.248351394919619439e-01
2.115131687565405372e+00 8.934509537090785936e-02 1.758932714592145174e-01 3.989885086297288996e-01 6.289118639843774838e-01 8.065133216803127558e-01 9.221418227542502732e-01
2.177341443082034811e+00 8.654401409230771947e-02 1.704856956012825719e-01 3.882144646882101924e-01 6.170438956881553194e-01 7.988796992985870427e-01 9.189852241372475916e-01
2.239551198598664250e+00 8.340954234496004982e-02 1.644292965489479175e-01 3.760588061674340343e-01 6.033436200031685459e-01 7.898396560061828886e-01 9.151566174521275077e-01
2.301760954115293689e+00 7.995303249791244071e-02 1.577416466835108444e-01 3.625038974420978777e-01 5.876466301222845745e-01 7.791514004166616436e-01 9.106692014171313687e-01
2.363970709631923572e+00 7.618705966919048223e-02 1.504425793626103514e-01 3.475345073826875963e-01 5.697711607938499290e-01 7.665105088817586454e-01 9.052102259574164034e-01
2.426180465148553012e+00 7.212540032278622060e-02 1.425543090575773497e-01 3.311395376940283741e-01 5.495205174101647216e-01 7.515338958584533158e-01 8.987477475993805864e-01
2.488390220665182451e+00 6.778300614932673829e-02 1.341015439328400172e-01 3.133139045781718202e-01 5.266870297709186355e-01 7.337419608341841926e-01 8.907703100249929618e-01
2.550599976181812334e+00 6.317597242285089010e-02 1.251115845066587129e-01 2.940605461477786009e-01 5.010578890118513318e-01 7.125385194990396798e-01 8.811387663893904820e-01
2.612809731698441773e+00 5.832150007125936481e-02 1.156144019615372720e-01 2.733925139803345949e-01 4.724231817187005689e-01 6.871932626795079768e-01 8.689223490781146086e-01
2.675019487215071212e+00 5.323785077444750935e-02 1.056426897745134652e-01 2.513350917337763279e-01 4.405863383194313920e-01 6.568299625549410825e-01 8.537008989272336645e-01
2.737229242731700651e+00 4.794429451092252492e-02 9.523188263708751156e-02 2.279278675902638718e-01 4.053770594703883234e-01 6.204306249887702185e-01 8.335510668907424314e-01
2.799438998248330535e+00 4.246104910894829554e-02 8.442013715359929227e-02 2.032266714189535639e-01 3.666665779872961828e-01 5.768629610557433063e-01 8.072429574041303235e-01
2.861648753764959974e+00 3.680921151897461469e-02 7.324826956136105960e-02 1.773052731203507149e-01 3.243848653397035653e-01 5.249435707532394968e-01 7.703105918606675262e-01
2.923858509281589413e+00 3.101068070648339836e-02 6.175964671276198970e-02 1.502567270113084885e-01 2.785391142313876078e-01 4.635403152284547357e-01 7.192708273798378293e-01
2.986068264798219296e+00 2.508807226309761954e-02 5.000002779447945689e-02 1.221942399259017820e-01 2.292325330365704850e-01 3.917174596735684688e-01 6.442912150290420747e-01
3.048278020314848735e+00 1.906462504344812181e-02 3.801735571289378141e-02 9.325143976373262422e-02 1.766821755299830543e-01 3.089148512356963416e-01 5.386419905844664902e-01
3.110487775831478174e+00 1.296410034865528443e-02 2.586149871309639109e-02 6.358192853261895872e-02 1.212341893074025956e-01 2.151550819488156630e-01 3.894684102929738545e-01
3.172697531348107614e+00 6.810674387467395910e-03 1.358394456978496978e-02 3.335802161122817383e-02 6.337448198026132684e-02 1.112651558869343360e-01 1.942699336017387202e-01
