# W Re(E=0.1) Re(E=0.2) Re(E=0.5) Re(E=1.0) Re(E=2.0) Re(E=5.0) Im(E=0.1) Im(E=0.2) Im(E=0.5) Im(E=1.0) Im(E=2.0) Im(E=5.0)
1.000000000000000021e-02 9.954336657464836202e-01 9.824052668582694547e-01 9.042333893461185212e-01 7.314697532381934098e-01 4.847025510542823379e-01 2.289054046820198640e-01 9.910061972850402190e-03 9.655108244004610707e-03 8.255214789039840712e-03 5.797997941462369048e-03 3.280226808718906314e-03 1.359958457649228930e-03
1.122018454301963557e-02 9.954082356630085116e-01 9.823811036966640931e-01 9.042151776856032219e-01 7.314588803366409708e-01 4.846969173490094374e-01 2.289031522357398707e-01 1.111898956460854841e-02 1.083294666867636209e-02 9.262312099686358102e-03 6.505298831827031371e-03 3.680256889476160066e-03 1.525438657739537369e-03
1.258925411794167490e-02 9.953762229176176257e-01 9.823506857393433656e-01 9.041922519127519875e-01 7.314451940910269290e-01 4.846898285166044151e-01 2.289003246289744720e-01 1.247531196814488652e-02 1.215439465758771584e-02 1.039221500374581421e-02 7.298836810656882286e-03 4.129008575661846300e-03 1.710927088163510888e-03
1.412537544622754007e-02 9.953359241636444699e-01 9.823123944185656597e-01 9.041633922124877598e-01 7.314279671775076874e-01 4.846809098536943861e-01 2.288967773294006691e-01 1.399696595990964840e-02 1.363693115839418116e-02 1.165987553819766362e-02 8.189106965723972828e-03 4.632390288265193085e-03 1.918793925607161464e-03
1.584893192461113431e-02 9.952851956412789303e-01 9.822641926816716440e-01 9.041270633889182395e-01 7.314062846018328790e-01 4.846696908182302477e-01 2.288923306756520393e-01 1.570405710045679609e-02 1.530014764983864822e-02 1.308205676967034992e-02 9.187873723020857641e-03 5.197016697248433084e-03 2.151672194947556235e-03
1.778279410038922925e-02 9.952213395096238813e-01 9.822035168969838193e-01 9.040813334736421680e-01 7.313789954839988727e-01 4.846555808772965990e-01 2.288867619005766629e-01 1.761911619475358889e-02 1.716600176793694338e-02 1.467754826119803228e-02 1.030832113122789190e-02 5.830288935624879099e-03 2.412480904566614587e-03
1.995262314968879874e-02 9.951409609611496787e-01 9.821271410786091005e-01 9.040237714158586568e-01 7.313446525753111160e-01 4.846378394680599944e-01 2.288797955847165222e-01 1.976738368275113289e-02 1.925909311189653514e-02 1.646740556636834552e-02 1.156521962126919566e-02 6.540482525279732277e-03 2.704448296245907067e-03
2.238721138568339902e-02 9.950397886781972012e-01 9.820310062076514912e-01 9.039513185286014441e-01 7.313014364542483881e-01 4.846155387451173691e-01 2.288710923152448007e-01 2.217712398747224284e-02 2.160697100533420095e-02 1.847521575694273041e-02 1.297511050890440276e-02 7.336842898059306277e-03 3.031134900282896408e-03
2.511886431509579437e-02 9.949124493374579270e-01 9.819100058565763955e-01 9.038601272805411035e-01 7.312470606249312777e-01 4.845875174846207001e-01 2.288602353333049066e-01 2.487997153075731382e-02 2.424047306916496392e-02 2.072739086462912356e-02 1.455650937593861230e-02 8.229688422257082359e-03 3.396455352243133146e-03
2.818382931264453578e-02 9.947521845768512172e-01 9.817577170748853499e-01 9.037453578305525426e-01 7.311786528740517044e-01 4.845523243829945037e-01 2.288467149342375828e-01 2.791130954182650253e-02 2.719409634234579848e-02 2.325349078472756237e-02 1.633012949073836886e-02 9.230520498072474628e-03 3.804698981824198786e-03
3.162277660168379134e-02 9.945504960212364631e-01 9.815660628103107799e-01 9.036009249966424628e-01 7.310926071655581282e-01 4.845081484914809389e-01 2.288299104236401760e-01 3.131068180723350913e-02 3.050640133928818332e-02 2.608657674642100854e-02 1.831912428291215464e-02 1.035213983609628401e-02 4.260547589097760102e-03
3.548133892335755130e-02 9.942967005208143139e-01 9.813248888453474095e-01 9.034191791731367438e-01 7.309843992038885796e-01 4.844527344072140917e-01 2.288090694309605766e-01 3.512223596759388167e-02 3.422044802774538985e-02 2.926359540273697560e-02 2.054935191143194423e-02 1.160876725006921607e-02 4.769090615695108747e-03
3.981071705534973415e-02 9.939773737587671576e-01 9.810214342313807734e-01 9.031905080108487693e-01 7.308483572326273103e-01 4.843832794036950218e-01 2.287832842987751469e-01 3.939519102977870335e-02 3.838426055496043515e-02 3.282579233298981575e-02 2.304965686494555091e-02 1.301616690170796613e-02 5.335836825202592941e-03
4.466835921509629964e-02 9.935756543013649633e-01 9.806396694053636232e-01 9.029028385121721234e-01 7.306773781389859224e-01 4.842963097056087185e-01 2.287514653764513572e-01 4.418434187941516073e-02 4.305131432720924606e-02 3.681915154854752820e-02 2.585216850016627821e-02 1.459176947404441232e-02 5.966722391724649070e-03
5.011872336272724798e-02 9.930703773429776504e-01 9.801594705034974986e-01 9.025410160490207057e-01 7.304625769294407212e-01 4.841875323541020015e-01 2.287123108278993622e-01 4.955054139647818712e-02 4.828103432340413032e-02 4.129485450010397102e-02 2.899261238496560894e-02 1.635479009511765086e-02 6.668115210183842186e-03
5.623413251903491145e-02 9.924349959044924674e-01 9.795555918247336180e-01 9.020860316850051186e-01 7.301928559650265882e-01 4.840516598003368753e-01 2.286642726961279348e-01 5.556119960306588057e-02 5.413928670302822765e-02 4.630974758747623959e-02 3.251062552004351652e-02 1.832633883969031485e-02 7.446814736710919216e-03
6.309573444801933051e-02 9.916362441966343200e-01 9.787963910352502905e-01 9.015140633152511906e-01 7.298543780544234361e-01 4.838822033168728165e-01 2.286055188791904225e-01 6.229072756873060834e-02 6.069883605101017432e-02 5.192680232703036219e-02 3.645006586906177071e-02 2.052951500362065057e-02 8.310047964438026930e-03
7.079457843841380216e-02 9.906324874421124083e-01 9.778422538322808499e-01 9.007952911344873081e-01 7.294299255824122641e-01 4.836712322326831570e-01 2.285338907992993107e-01 6.982089714009609427e-02 6.803972692347932949e-02 5.821553397867956781e-02 4.085930503106290079e-02 2.298948193195430104e-02 9.265461193566719086e-03
7.943282347242813790e-02 9.893716956924691885e-01 9.766436570268857142e-01 8.998924381305064557e-01 7.288981254765968254e-01 4.834090954839345700e-01 2.284468563524233997e-01 7.824104861444976244e-02 7.624952933590727067e-02 6.525235795707810815e-02 4.579147954321646091e-02 2.573351391682336328e-02 1.032110925180185906e-02
8.912509381337459236e-02 9.877889732160436420e-01 9.751388025363558754e-01 8.987589848596129194e-01 7.282325205111802591e-01 4.830841021377831335e-01 2.283414573595604624e-01 8.764805309786299903e-02 8.542336172426762131e-02 7.312080741460523503e-02 5.130468048339291431e-02 2.879100839205851747e-02 1.148544430719940571e-02
1.000000000000000056e-01 9.858035732201486656e-01 9.732507516450895624e-01 8.973369980143429681e-01 7.274004629246340059e-01 4.826821578030275894e-01 2.282142502622739322e-01 9.814589868837333975e-02 9.566356960376680429e-02 8.191154955658606907e-02 5.746204068801383236e-02 3.219345715952854486e-02 1.276730534357774921e-02
1.122018454301963591e-01 9.833153337144076023e-01 9.708839924811432098e-01 8.955545127612030143e-01 7.263618076636400023e-01 4.821863534184236411e-01 2.280612388567958004e-01 1.098447199909393379e-01 1.070788912781550778e-01 9.172208806186130103e-02 6.433169275065020454e-02 3.597436850069758718e-02 1.417590669660705183e-02
1.258925411794167559e-01 9.802004902150081023e-01 9.679203893286447702e-01 8.933224045814281977e-01 7.250673867783672399e-01 4.815765028401701731e-01 2.278777983666276929e-01 1.228590266425388933e-01 1.197828811798523074e-01 1.026560104694146103e-01 7.198653167249352558e-02 4.016913440770823740e-02 1.572082369508571650e-02
1.412537544622754770e-01 9.763068637628363744e-01 9.642145011402593058e-01 8.905307098147983158e-01 7.234572387447758546e-01 4.808286248985561562e-01 2.276585905701958845e-01 1.373048073612241626e-01 1.338912838250983228e-01 1.148215799532853743e-01 8.050373463647181316e-02 4.481483713650752376e-02 1.741197471731388211e-02
1.584893192461114264e-01 9.714485013998466201e-01 9.595883065606348739e-01 8.870443540898130808e-01 7.214585779914752806e-01 4.799143650809095663e-01 2.273974685273388863e-01 1.532950929680245988e-01 1.495179682422212997e-01 1.283294208499324018e-01 8.996395899601039581e-02 4.994998600737765582e-02 1.925960497493789392e-02
1.778279410038922925e-01 9.653999785560035685e-01 9.538255414176761704e-01 8.826983161322230487e-01 7.189834874905371986e-01 4.788003503860256971e-01 2.270873683049193237e-01 1.709334615839706029e-01 1.667689075037448732e-01 1.432889684118586471e-01 1.004501348076015793e-01 5.561417975369895017e-02 2.127427179925879541e-02
1.995262314968879735e-01 9.578907810420242974e-01 9.466659621678461534e-01 8.772922972930077279e-01 7.159263203332858483e-01 4.774474700148394479e-01 2.267201848559469990e-01 1.903048781149838387e-01 1.857336249916477777e-01 1.598032347386634522e-01 1.120457526943241106e-01 6.184768365286653913e-02 2.346682818607449469e-02
2.238721138568340041e-01 9.486004929983166134e-01 9.378002097393491887e-01 8.705851275294113067e-01 7.121608023345601390e-01 4.758100722009320771e-01 2.262866319368208312e-01 2.114632105020729513e-01 2.064734254566877869e-01 1.779613587816178677e-01 1.248325115992478945e-01 6.869090832470040042e-02 2.584839415415408903e-02
2.511886431509580686e-01 9.371559459810231418e-01 9.268663103536392001e-01 8.622893017950354899e-01 7.075368305809022207e-01 4.738350668132777499e-01 2.257760828606229786e-01 2.344148133717377791e-01 2.290057587391426674e-01 1.978282853172157740e-01 1.388871779970904663e-01 7.618377442130826183e-02 2.843031952393292039e-02
2.818382931264454827e-01 9.231320336583639374e-01 9.134494003844045862e-01 8.520663958204426347e-01 7.018769708710966837e-01 4.714609199716812138e-01 2.251764000702129731e-01 2.590978039797907639e-01 2.532842304247606702e-01 2.194307562112246812e-01 1.542774407848516438e-01 8.436493844263011355e-02 3.122412924503305265e-02
3.162277660168379412e-01 9.060585207319546974e-01 8.970869008921366072e-01 8.395245910089806918e-01 6.949726692721993615e-01 4.686165272432464279e-01 2.244737208816544316e-01 2.853571984392914151e-01 2.791742295315368660e-01 2.427388096756790958e-01 1.710564783523033094e-01 9.327084403588008221e-02 3.424148705091675099e-02
3.548133892335754713e-01 8.854357424081298333e-01 8.772820070795877001e-01 8.242202775775924195e-01 6.865802201519949355e-01 4.652199476893602026e-01 2.236522307350118643e-01 3.129170714131452313e-01 3.064250329842660436e-01 2.676420896004019778e-01 1.892558305040566158e-01 1.029345566314835009e-01 3.749407666642803200e-02
3.981071705534973137e-01 8.607623383268543371e-01 8.535287632694311677e-01 8.056666669814942505e-01 6.764165948451404953e-01 4.611769823186890882e-01 2.226939218879223914e-01 3.413524656012081882e-01 3.346407175507019049e-01 2.939208271814556239e-01 2.088759566612314600e-01 1.133843164024379152e-01 4.099354551279674186e-02
4.466835921509632601e-01 8.315776669802674714e-01 8.253517575508524384e-01 7.833534070168121088e-01 6.641553966237032647e-01 4.563795768174801482e-01 2.215783153971691566e-01 3.700658949532961151e-01 3.632543116686632878e-01 3.212126281178744325e-01 2.298735089255252162e-01 1.246417250106995611e-01 4.475129319146544521e-02
5.011872336272724660e-01 7.975197578265534881e-01 7.923620197982121915e-01 7.567819589074304965e-01 6.494235984896957747e-01 4.507040303561513639e-01 2.202820407749319642e-01 3.982756527206113284e-01 3.915121424287590912e-01 3.489785327016803884e-01 2.521438006923573116e-01 1.367194536772662616e-01 4.877835090685830877e-02
5.623413251903490728e-01 7.583961034351217601e-01 7.543274393525346566e-01 7.255211013055535840e-01 6.318006801470444911e-01 4.440089885002492243e-01 2.187786228997296023e-01 4.250249774617517740e-01 4.184776255213229490e-01 3.764754532013612764e-01 2.754961343084445513e-01 1.496183147904798505e-01 5.308509694370277393e-02
6.309573444801933606e-01 7.142592666780165356e-01 7.112508220296680506e-01 6.892842395629523722e-01 6.108238286346275858e-01 4.361332020570053980e-01 2.170379119524765699e-01 4.492211438026366133e-01 4.430642859872864214e-01 4.027465062604689838e-01 2.996189058131391580e-01 1.633234834308914529e-01 5.768099278083783921e-02
7.079457843841380216e-01 6.654731757202315690e-01 6.634419028167271026e-01 6.480237546643344837e-01 5.860066500739652406e-01 4.268930317034796418e-01 2.150257158569925664e-01 4.697101917454135078e-01 4.641057231870963085e-01 4.266445449441981230e-01 3.240317321900592629e-01 1.777995614864430196e-01 6.257418890778174148e-02
7.943282347242817121e-01 6.127514424038491558e-01 6.115642889349348632e-01 6.020272999209949072e-01 5.568843826945778508e-01 4.160796868844877094e-01 2.127033683191052738e-01 4.853853541064925281e-01 4.804622970773789747e-01 4.469040651327794156e-01 3.480256655170929081e-01 1.929840309453153269e-01 6.777106242632703614e-02
8.912509381337458958e-01 5.571493141207501942e-01 5.566368189786995435e-01 5.519890402309368671e-01 5.231034539601395750e-01 4.034561880053412763e-01 2.100266475440621672e-01 4.953161839567566949e-01 4.911534698247232988e-01 4.622684282806780454e-01 3.706038593131353864e-01 2.087784034117285137e-01 7.327544360279229785e-02
1.000000000000000000e+00 4.999984885707136062e-01 4.999755593218525029e-01 4.990221543902025325e-01 4.845695693911933333e-01 3.887540690700121981e-01 2.069458815119522566e-01 4.988744692688898419e-01 4.954918632921283539e-01 4.716610888602024154e-01 3.904568434643677088e-01 2.250359192851789647e-01 7.908811760214949638e-02
1.122018454301964230e+00 4.427885078799769225e-01 4.430773907236612019e-01 4.445863693291964847e-01 4.416420993596342770e-01 3.716699186660318843e-01 2.034047260556773873e-01 4.958276549353748397e-01 4.931876780685923722e-01 4.743651585826044736e-01 4.060327581694617161e-01 2.415436891800350483e-01 8.520547865303003399e-02
1.258925411794167504e+00 3.870150737649943329e-01 3.874646098042551223e-01 3.903298565576349133e-01 3.953050282593032483e-01 3.518623842956693504e-01 1.993392680466174460e-01 4.863750801901973175e-01 4.843951920302986269e-01 4.701588373410435784e-01 4.157641989928871351e-01 2.579948436819392010e-01 9.161875460456064824e-02
1.412537544622753938e+00 3.340270366591822082e-01 3.345238643320752603e-01 3.378796188858806393e-01 3.471867597654348936e-01 3.289532079340639070e-01 1.946774078455661139e-01 4.711168626497401757e-01 4.696878217395543675e-01 4.593596925932863506e-01 4.184441634272607624e-01 2.739402665044957108e-01 9.831138842078882001e-02
1.584893192461114042e+00 2.849042841632260514e-01 2.853748425189912563e-01 2.886383117329586745e-01 2.993273731468568677e-01 3.025494777494518450e-01 1.893373172153382245e-01 4.509641808970219490e-01 4.499690789906710675e-01 4.427615679859756015e-01 4.136078606222556853e-01 2.886964595479733497e-01 1.052582817158650014e-01
1.778279410038922759e+00 2.403880418302513367e-01 2.407933007281217175e-01 2.436419152752586081e-01 2.537472248721839296e-01 2.723505677891886467e-01 1.832269476868562119e-01 4.270148330173167972e-01 4.263442582397047320e-01 4.214880809074886270e-01 4.017002407408601372e-01 3.011748398710645813e-01 1.124217908037007246e-01
