# W Re(E=0.1) Re(E=0.2) Re(E=0.5) Re(E=1.0) Re(E=2.0) Re(E=5.0) Im(E=0.1) Im(E=0.2) Im(E=0.5) Im(E=1.0) Im(E=2.0) Im(E=5.0)
1.000000000000000021e-02 1.480573668086724859e-01 1.434800814345520703e-01 1.173419107254115024e-01 6.837409964603786972e-02 2.201506226906868938e-02 2.438902427625830316e-03 8.833119106813036234e-03 8.394183075774563213e-03 6.108794843829964960e-03 2.769648338928008043e-03 6.400165573896579542e-04 5.182818716472632314e-05
1.122018454301963557e-02 1.479667250379202714e-01 1.433958274161729329e-01 1.172877846880281266e-01 6.835450172498924726e-02 2.201138937095842296e-02 2.438638558319868987e-03 9.907473316384972015e-03 9.415298691541821099e-03 6.852405702958150671e-03 3.107033584076476351e-03 7.179876349059352353e-04 5.812919777391141609e-05
1.258925411794167490e-02 1.478526851788048990e-01 1.432898210203821798e-01 1.172196763107049150e-01 6.832983995773067587e-02 2.200676885674645450e-02 2.438307373926456006e-03 1.111149833458727025e-02 1.055972054262287879e-02 7.686019761694650593e-03 3.485354283422583549e-03 8.054222685656687013e-04 6.518986582090355460e-05
1.412537544622754007e-02 1.477092305119516447e-01 1.431564626472995316e-01 1.171339840400516530e-01 6.829880933227218398e-02 2.200095732006653731e-02 2.437891994126033853e-03 1.246043262803535334e-02 1.184201735888220676e-02 8.620318373659899974e-03 3.909510068448331793e-03 9.034546217536388495e-04 7.309930874836193199e-05
1.584893192461113431e-02 1.475288106883429207e-01 1.429887354975301339e-01 1.170261847599639582e-01 6.825977050504887511e-02 2.199364944800431473e-02 2.437371454886799911e-03 1.397113486739200335e-02 1.327817494453597570e-02 9.667162853600912154e-03 4.384959403941100092e-03 1.013348956986490123e-03 8.195618738181375943e-05
1.778279410038922925e-02 1.473019587176437328e-01 1.427778292170392149e-01 1.168906015504966728e-01 6.821066529626462760e-02 2.198446262016564082e-02 2.436719791190466392e-03 1.566218423757101408e-02 1.488595847554204099e-02 1.083968809576033726e-02 4.917771898276640172e-03 1.136512155242432520e-03 9.186941418643665099e-05
1.995262314968879874e-02 1.470168169203523723e-01 1.425127089893338250e-01 1.167201150008197463e-01 6.814891148644186547e-02 2.197291786525241292e-02 2.435904944244335953e-03 1.755395380068328071e-02 1.668482973100566397e-02 1.215238725125083498e-02 5.514680611065969629e-03 1.274506562942588281e-03 1.029588072251191584e-04
2.238721138568339902e-02 1.466585529332800064e-01 1.421795671443730480e-01 1.165058055768865147e-01 6.807127222222587870e-02 2.195841641863344532e-02 2.434887470838668997e-03 1.966863822010813528e-02 1.869602265462479498e-02 1.362117828763264107e-02 6.183131847435863367e-03 1.429062634518491826e-03 1.153556624834661251e-04
2.511886431509579437e-02 1.462086445891603304e-01 1.417611538574587993e-01 1.162365159997123809e-01 6.797369449272989972e-02 2.194021097976173867e-02 2.433619034302355807e-03 2.203020909161663640e-02 2.094251712969776719e-02 1.526343915300388751e-02 6.931328677515785283e-03 1.602090754251635999e-03 1.292031818554617497e-04
2.818382931264453578e-02 1.456440110737272087e-01 1.412359623524334362e-01 1.158982982831671255e-01 6.785111027299783881e-02 2.191737076653279062e-02 2.432040656961055765e-03 2.466426014439022235e-02 2.344891420636261922e-02 1.709799170903358867e-02 7.768263316128462895e-03 1.795691351801926216e-03 1.446567356659034177e-04
3.162277660168379134e-02 1.449359681857657622e-01 1.405772465554959438e-01 1.154737709567078413e-01 6.769719308843917538e-02 2.188873925053943376e-02 2.430080720314360936e-03 2.759768981011909844e-02 2.624116497123831632e-02 1.914500865267074886e-02 8.703727280774238573e-03 2.012162082458492356e-03 1.618838653910723686e-04
3.548133892335755130e-02 1.440489893400481447e-01 1.397518519488967770e-01 1.149413149714976767e-01 6.750406226128186082e-02 2.185288356225736917e-02 2.427652703336701575e-03 3.085814921659226287e-02 2.934608730475239680e-02 2.142580383833052327e-02 9.748295592598330353e-03 2.254000323967963060e-03 1.810640043900567722e-04
3.981071705534973415e-02 1.429389419987847076e-01 1.387188482876641205e-01 1.142741297104560710e-01 6.726192684020522450e-02 2.180803449887169093e-02 2.424652641652156552e-03 3.447435988143297825e-02 3.279058157381460614e-02 2.396245516563855552e-02 1.091326113101792790e-02 2.523898863039421726e-03 2.023878401258129918e-04
4.466835921509629964e-02 1.415525568108994547e-01 1.374279692040760170e-01 1.134391250755179548e-01 6.695866198071422082e-02 2.175201639595796335e-02 2.420956310966475809e-03 3.847043690214538292e-02 3.660042729816129214e-02 2.677718933973110074e-02 1.221050408183180919e-02 2.824732157294294714e-03 2.260562691918883494e-04
5.011872336272724798e-02 1.398241636728037307e-01 1.358178934135554627e-01 1.123956542573733147e-01 6.657931308938437598e-02 2.168216614792684363e-02 2.416416116321952728e-03 4.286989332691804044e-02 4.079850828857289891e-02 2.989143556601669971e-02 1.365227030499958048e-02 3.159529219352234623e-03 2.522788814630650138e-04
